Target Name	E-value
A0A0R2FVI8_9LACT	1000000.0
A0A0J5P9G6_9LACT	1000000.0
A0A0R2HIR8_9LACT	1000000.0
J9YH95_LEUGJ	1000000.0
X0QNI0_9LACO	301.58502665202917
G9WGU4_9LACT	283.8239087409443
A0A261F7M3_9BIFI	277.25963731050575
J0DFD8_9BIFI	273.1135092748275
J0DFD8_9BIFI	273.1135092748275
A0A0R2JE56_9LACT	271.85387196432174
A0A0R2HZC9_9LACO	228.02227639471116
A0A0R1W1T1_9LACO	216.38721614328026
A0A0R2I8Q5_9LACO	215.82390874094432
W9EE99_9LACO	213.5528419686578
A0A0R1RRH5_9LACO	211.16115090926274
A0A0R1RRH5_9LACO	211.16115090926274
A0A0R2JSC5_9LACO	210.23657200643706
A0A1P8Q111_9LACO	209.92081875395237
A0A081BKX9_9LACO	206.3187587626244
G2KVM6_LACSM	205.92081875395237
E0NI75_PEDAC	205.69897000433602
J9W3C2_LACBU	205.17392519729918
C2D302_LACBR	204.3665315444204
A0A0R1WWN2_9LACO	202.72124639904717
A0A062XN29_LEUPS	201.29242982390207
A0A0R2AFH9_9LACO	200.1079053973095
A0A0D4CLL6_LACMC	198.95860731484177
A0A0D4CLL6_LACMC	198.95860731484177
A0A0D0YUU5_9LACO	198.69897000433602
A0A0R1S2S1_9LACO	198.02227639471116
A0A0R1S2S1_9LACO	198.02227639471116
A0A1I1T9Q3_9LACO	197.15490195998575
A0A0R2DGS6_9LACO	196.6197887582884
A0A261F7P4_9BIFI	195.6382721639824
A0A261F7P4_9BIFI	195.6382721639824
A0A0R1MNC7_9LACO	195.13667713987954
A0A0R1S4R8_9LACO	193.45593195564973
Q1WVK1_LACS1	193.25963731050575
Q1WVK1_LACS1	193.25963731050575
I7L6U4_9LACO	192.53760200210104
A0A0R1K630_9LACO	191.02227639471116
A0A089Y508_9LACO	188.02227639471116
A0A0R1RFJ4_9LACO	185.92081875395237
A0A0R2DR00_9LACO	185.79588001734407
A0A0R2HM97_9FIRM	181.7447274948967
R7GMQ9_9FIRM	181.4202164033832
A0A2S2JKP0_9LACO	177.60205999132796
A0A2S2JKP0_9LACO	177.60205999132796
A0A0R1RHH9_9LACO	176.92081875395237
A0A0R2N0I6_9LACO	176.6382721639824
A0A0R1SG79_9LACO	176.10237290870955
R6ZAM8_9CLOT	175.04575749056067
A0A0H4LAX2_9LACO	172.95860731484177
A0A1I0EHL5_9FIRM	171.95860731484177
A0A0R2DIR3_9LACO	171.58502665202917
H3NFH0_9LACT	170.6575773191778
D4J3S7_9FIRM	170.45593195564973
B5CL59_9FIRM	168.08618614761627
R5RU71_9CLOT	166.20760831050174
R9MHT9_9FIRM	165.53760200210104
R5SXF4_9CLOT	165.50863830616572
A0A0R2DLB6_9LACO	164.52287874528034
A0A0R2DLB6_9LACO	164.52287874528034
R5MT23_9MOLU	164.50863830616572
A0A1R4JY54_9SPHI	163.11350927482752
G5JVJ9_9STRE	163.0506099933551
R5YGP2_9FIRM	162.85387196432177
A0A1Q8RF43_9STRE	162.82390874094432
A0A1Y3X8W7_9FIRM	162.7447274948967
A0A1L8SVK0_9ENTE	161.6575773191778
CAS9_STRMU	161.568636235841
A0A0P6SHS4_9STRE	161.4814860601221
A0A0P6SHS4_9STRE	161.4814860601221
R7I2K1_9CLOT	160.30102999566398
F9HIG7_9STRE	160.22184874961636
F7UWL3_EEGSY	159.6575773191778
A0A242K0X1_9ENTE	158.95860731484177
A0A1I6SZS7_9BACI	158.50863830616572
A0A1L8RHH1_9ENTE	157.7447274948967
A0A1Y4MDC8_9FIRM	157.6777807052661
A0A139NKI7_9STRE	157.39794000867204
A0A1Y4G2J4_9ACTN	157.3098039199715
R7KBA0_9CLOT	157.25963731050575
Q8E042_STRA5	157.21467016498923
A0A172Q7S3_9STRE	156.58502665202917
A0A0R1TV35_9LACO	156.4436974992327
R3WHR8_9ENTE	156.22184874961636
A0A1J0A4R8_9ENTE	155.72124639904717
A0A1Q8EAV4_9STRE	155.39794000867204
A0A2K2U9X6_9ACTN	155.2839966563652
A0A179EQS1_ENTTH	155.22914798835785
R5FLM1_9ACTN	154.92081875395237
R5FLM1_9ACTN	154.92081875395237
