Target Name	E-value
A0A0R2HZC9_9LACO	1000000.0
A0A0R1S2S1_9LACO	1000000.0
J9W3C2_LACBU	1000000.0
C2D302_LACBR	1000000.0
E0NI75_PEDAC	1000000.0
A0A0D4CLL6_LACMC	1000000.0
A0A0D4CLL6_LACMC	1000000.0
A0A0R2I8Q5_9LACO	1000000.0
I7L6U4_9LACO	1000000.0
A0A0R1W1T1_9LACO	1000000.0
A0A0R2AFH9_9LACO	1000000.0
A0A0R1RRH5_9LACO	1000000.0
A0A0R2DGS6_9LACO	1000000.0
A0A0R1WWN2_9LACO	1000000.0
A0A0D0YUU5_9LACO	1000000.0
A0A0R1S4R8_9LACO	1000000.0
A0A081BKX9_9LACO	1000000.0
A0A2S2JKP0_9LACO	1000000.0
A0A2S2JKP0_9LACO	1000000.0
A0A0R1SG79_9LACO	1000000.0
A0A1I1T9Q3_9LACO	1000000.0
Q1WVK1_LACS1	1000000.0
A0A0R1RFJ4_9LACO	1000000.0
A0A089Y508_9LACO	1000000.0
G2KVM6_LACSM	1000000.0
A0A0R2DLB6_9LACO	1000000.0
A0A0R2DLB6_9LACO	1000000.0
A0A0R2DR00_9LACO	1000000.0
A0A0R2JSC5_9LACO	1000000.0
W9EE99_9LACO	1000000.0
A0A0R1MNC7_9LACO	1000000.0
A0A0R1RHH9_9LACO	310.61978875828845
A0A0R1K630_9LACO	303.0757207139381
A0A0R2N0I6_9LACO	279.0
A0A0F4LLE0_9LACO	277.1938200260161
A0A0R2DIR3_9LACO	265.3665315444204
A0A0C1M7A0_9LACO	237.3187587626244
A0A0R2FVI8_9LACT	228.7447274948967
A0A0R2HIR8_9LACT	216.4202164033832
J9YH95_LEUGJ	215.82390874094432
X0QNI0_9LACO	215.82390874094432
A0A0J5P9G6_9LACT	212.6197887582884
J0DFD8_9BIFI	210.53760200210104
G9WGU4_9LACT	206.26760624017703
A0A1P8Q111_9LACO	195.07572071393813
A0A261F7M3_9BIFI	190.0268721464003
A0A0H4LAX2_9LACO	188.46852108295775
A0A0R2JE56_9LACT	187.60205999132796
R6ZAM8_9CLOT	187.03151705144606
B5CL59_9FIRM	185.76955107862173
D4J3S7_9FIRM	185.4436974992327
R7KBA0_9CLOT	184.23657200643706
A0A1I0EHL5_9FIRM	184.08092190762392
A0A0R2HM97_9FIRM	183.85387196432177
R5RU71_9CLOT	181.09691001300806
R5SXF4_9CLOT	180.6382721639824
R6ET93_9FIRM	179.76955107862173
R9MHT9_9FIRM	179.568636235841
