Target Name	E-value
D4J3S7_9FIRM	1000000.0
B5CL59_9FIRM	1000000.0
R9MHT9_9FIRM	1000000.0
R6ZAM8_9CLOT	1000000.0
R5RU71_9CLOT	1000000.0
R5SXF4_9CLOT	1000000.0
S1NSG8_9ENTE	1000000.0
A0A1G9IV55_9CLOT	1000000.0
A0A1G5VTW4_9FIRM	1000000.0
R6U7U5_9CLOT	1000000.0
A0A1Y4MDC8_9FIRM	1000000.0
A0A1Y4MDC8_9FIRM	1000000.0
A0A1Y4MYU4_9FIRM	1000000.0
A0A1Y3X8W7_9FIRM	1000000.0
A0A1Y3X8W7_9FIRM	1000000.0
R6P3Z6_9FIRM	1000000.0
R6QHH1_9FIRM	1000000.0
R5N3I1_9FIRM	1000000.0
A0A1Q6TH32_9FIRM	1000000.0
A0A017H668_9FUSO	1000000.0
A0A1M4Z2G1_9FIRM	1000000.0
R5Z6B4_9FIRM	1000000.0
R6ET93_9FIRM	313.3372421683248
E0NJ84_9FIRM	308.85387196432174
D6GRK4_FILAD	307.58502665202917
Q73QW6_TREDE	306.4814860601221
Q73QW6_TREDE	306.4814860601221
R5YGP2_9FIRM	303.4089353929735
A0A2P8R3D8_9PROT	298.26760624017703
A0A2K9P034_9FIRM	296.16749108729374
E7MR72_9FIRM	295.63827216398244
C2CKI6_9FIRM	292.2441251443275
R5GJ26_9FIRM	292.0809219076239
A0A1H3WUW7_9FIRM	285.85387196432174
U2SSY7_9FUSO	283.52287874528037
A0A1H2SUB6_9FIRM	283.0268721464003
R5BQB0_9FIRM	282.56863623584104
A0A1G8P2U6_9LACT	282.52287874528037
A0A128ECZ8_9PROT	281.3872161432803
A0A128ECZ8_9PROT	281.3872161432803
A0A133ZK65_9FIRM	281.0222763947111
W1U735_9FIRM	280.4948500216801
C5NZ04_9BACL	280.4089353929735
A0A095ZV18_9FIRM	280.3098039199715
R5J5B2_9FIRM	277.46852108295775
R9LW52_9FIRM	275.14874165128094
A0A1Y4M0G0_9FIRM	275.0043648054025
J4KB57_9FIRM	273.09151498112135
A0A1I1D643_9FIRM	269.8239087409443
A0A1H3WQM5_9FIRM	269.21467016498923
A0A1H6QJL3_9FIRM	264.9208187539524
H3NQF8_9FIRM	264.8860566476932
F9MP31_9FIRM	263.0705810742857
A0A1I1AMI4_9FIRM	263.04095860767893
W3Y2C1_9FIRM	257.2757241303992
