Target Name	E-value
R5SXF4_9CLOT	1000000.0
R5RU71_9CLOT	1000000.0
D4J3S7_9FIRM	1000000.0
B5CL59_9FIRM	1000000.0
R9MHT9_9FIRM	1000000.0
R6ZAM8_9CLOT	1000000.0
S1NSG8_9ENTE	1000000.0
A0A1G9IV55_9CLOT	1000000.0
A0A1G5VTW4_9FIRM	1000000.0
R6U7U5_9CLOT	1000000.0
A0A017H668_9FUSO	1000000.0
A0A1Q6TH32_9FIRM	1000000.0
A0A1Y4MYU4_9FIRM	1000000.0
A0A1Y3X8W7_9FIRM	1000000.0
A0A1Y3X8W7_9FIRM	1000000.0
R6QHH1_9FIRM	1000000.0
R6P3Z6_9FIRM	1000000.0
A0A1Y4MDC8_9FIRM	1000000.0
R5N3I1_9FIRM	1000000.0
Q73QW6_TREDE	1000000.0
Q73QW6_TREDE	1000000.0
D6GRK4_FILAD	313.46852108298606
R6ET93_9FIRM	311.4559319556495
A0A1M4Z2G1_9FIRM	309.05060999335507
E0NJ84_9FIRM	308.14266750356876
R5YGP2_9FIRM	306.8860566476932
R5Z6B4_9FIRM	304.3372421683184
E7MR72_9FIRM	301.1938200260161
A0A2K9P034_9FIRM	298.5528419686578
U2SSY7_9FUSO	298.4948500216801
A0A2P8R3D8_9PROT	296.0
W1U735_9FIRM	293.0757207139381
A0A095ZV18_9FIRM	292.9208187539524
A0A1H2SUB6_9FIRM	291.6197887582884
A0A1H3WUW7_9FIRM	291.1249387366083
R5BQB0_9FIRM	290.53760200210104
R5GJ26_9FIRM	287.0
C2CKI6_9FIRM	284.69897000433605
W3Y2C1_9FIRM	284.31875876262444
H3NQF8_9FIRM	281.7447274948967
C5NZ04_9BACL	279.3872161432803
R9LW52_9FIRM	276.9208187539524
R5J5B2_9FIRM	276.2006594505464
J4KB57_9FIRM	275.7212463990472
F9MP31_9FIRM	275.67778070526606
A0A1G8P2U6_9LACT	274.7447274948967
A0A1Y4M0G0_9FIRM	271.2839966563652
A0A128ECZ8_9PROT	269.56863623584104
A0A128ECZ8_9PROT	269.56863623584104
Q7P7J1_FUSNV	268.7212463990472
A0A1H3WQM5_9FIRM	267.58502665202917
A0A1I1D643_9FIRM	267.3372421683184
A0A1H6QJL3_9FIRM	263.4814860601221
A0A133ZK65_9FIRM	262.6575773191778
A0A1I1AMI4_9FIRM	258.53760200210104
G4Q6A5_ACIIR	249.79588001734407
B0RZQ7_FINM2	247.0
R5JYM0_9FIRM	244.4436974992327
D7N6R3_9FIRM	239.3187587626244
A0A0B4S2L0_9FIRM	237.79588001734407
A0A0R2KGU9_9LACO	234.02227639471116
A0A133YSB7_9FIRM	225.6382721639824
R5R3T7_9FIRM	225.03151705144606
F9N3Y3_9FIRM	210.76955107862173
R7I2K1_9CLOT	190.92081875395237
A0A0R1S4R8_9LACO	187.3187587626244
R7GMQ9_9FIRM	183.82390874094432
A0A1I0EHL5_9FIRM	183.568636235841
A0A0R2HM97_9FIRM	181.568636235841
R7KBA0_9CLOT	180.6777807052661
A0A0R2HZC9_9LACO	180.568636235841
E0NI75_PEDAC	179.431798275933
A0A1P8Q111_9LACO	178.20065945054642
J9W3C2_LACBU	177.6197887582884
A0A0R1W1T1_9LACO	177.07572071393813
A0A1Y4G2J4_9ACTN	175.6777807052661
R5MT23_9MOLU	175.3665315444204
R5MT23_9MOLU	175.3665315444204
A0A2K2U9X6_9ACTN	173.50863830616572
A0A2K2U9X6_9ACTN	173.50863830616572
A0A0R1RRH5_9LACO	173.06048074738138
A0A0R1WWN2_9LACO	172.45593195564973
A0A0R1S2S1_9LACO	170.0506099933551
G9WGU4_9LACT	169.79588001734407
G9WGU4_9LACT	169.79588001734407
R6I3U9_9ACTN	169.60205999132796
R6I3U9_9ACTN	169.60205999132796
A0A0R2I8Q5_9LACO	169.3187587626244
C2D302_LACBR	168.85387196432177
F7UWL3_EEGSY	168.85387196432177
A0A1I1T9Q3_9LACO	168.39794000867204
A0A1I1T9Q3_9LACO	168.39794000867204
G2KVM6_LACSM	168.0506099933551
A0A081BKX9_9LACO	167.2518119729938
A0A0R2FVI8_9LACT	166.18045606445813
A0A0R2HIR8_9LACT	166.1079053973095
A0A1Q8RF43_9STRE	165.95860731484177
I7L6U4_9LACO	165.76955107862173
E6MK09_9FIRM	165.568636235841
U2VD49_9ACTN	165.2757241303992
U2VD49_9ACTN	165.2757241303992
A0A0H4LAX2_9LACO	164.92081875395237
A0A0R2DIR3_9LACO	164.76955107862173
R6XMN7_9FIRM	163.6382721639824
W9EE99_9LACO	163.4202164033832
F2NB82_CORGP	163.38721614328026
A0A0R2DGS6_9LACO	162.29242982390207
E1QW44_OLSUV	162.23657200643706
E1QW44_OLSUV	162.23657200643706
A0A0R2DR00_9LACO	161.95860731484177
J9YH95_LEUGJ	161.50863830616572
