Target Name	E-value
R7N9S8_9FIRM	1000000.0
R7I2K1_9CLOT	1000000.0
A0A0R2HM97_9FIRM	212.15490195998575
R7GMQ9_9FIRM	201.05551732784983
A0A2K2U9X6_9ACTN	197.5528419686578
A0A1I0EHL5_9FIRM	197.3767507096021
A0A1Y4G2J4_9ACTN	186.79588001734407
F7UWL3_EEGSY	182.76955107862173
U2VD49_9ACTN	177.2518119729938
R6I3U9_9ACTN	177.00877392430752
R5FLM1_9ACTN	171.09151498112135
A0A0H4LAX2_9LACO	168.82390874094432
U2U1P0_9ACTN	168.6777807052661
F2NB82_CORGP	168.22914798835785
B5CL59_9FIRM	168.09151498112135
A0A1P8Q111_9LACO	167.76955107862173
R3WHR8_9ENTE	165.6197887582884
G5JVJ9_9STRE	164.1938200260161
E1QW44_OLSUV	163.7447274948967
H3NFH0_9LACT	163.33724216831843
A0A1X6WKP1_9ENTE	162.72124639904717
D6GRK4_FILAD	162.568636235841
R7KBA0_9CLOT	162.4436974992327
A0A133YY65_9ACTN	162.0705810742857
A0A139NKI7_9STRE	162.05551732784983
A0A1J0A4R8_9ENTE	161.58502665202917
A0A0R1WWN2_9LACO	160.3565473235138
R5MT23_9MOLU	160.29242982390207
A0A1Q8EAV4_9STRE	159.6382721639824
A0A1Q8EAV4_9STRE	159.6382721639824
R6ET93_9FIRM	159.13076828026902
A0A179EQS1_ENTTH	159.00877392430752
R9MHT9_9FIRM	158.92081875395237
CAS9_STRMU	158.85387196432177
F9HIG7_9STRE	158.82390874094432
A0A1L8SVK0_9ENTE	158.39794000867204
A0A1G6A5G6_9STRE	157.92081875395237
A0A1Q8RF43_9STRE	157.6382721639824
A0A242K0X1_9ENTE	157.431798275933
A0A0D0YUU5_9LACO	157.16749108729377
D4J3S7_9FIRM	156.22184874961636
A0A0R1RRH5_9LACO	155.92081875395237
R6ZAM8_9CLOT	155.52287874528034
R5RU71_9CLOT	155.50863830616572
A0A172Q7S3_9STRE	155.2839966563652
A0A1E8GQ60_9LACT	154.92081875395237
A0A095XEU7_9FIRM	154.92081875395237
A0A0R2I8Q5_9LACO	154.88605664769315
A0A1L8WQK4_9ENTE	154.29242982390207
R5SXF4_9CLOT	153.88605664769315
A0A0E4H4H8_9STRE	153.60205999132796
A0A1G9IV55_9CLOT	153.4202164033832
A0A1G8P2U6_9LACT	153.20760831050174
A0A1R4JY54_9SPHI	153.18045606445813
Q8E042_STRA5	153.00877392430752
R6P3Z6_9FIRM	152.60205999132796
J9W3C2_LACBU	152.3767507096021
E0NI75_PEDAC	152.3565473235138
A0A1E5KUU0_9ENTE	151.85387196432177
A0A1I6SZS7_9BACI	151.76955107862173
V4Q7N5_STRIN	151.6382721639824
V4Q7N5_STRIN	151.6382721639824
A0A1Y4MYU4_9FIRM	151.3279021420643
R7D1C6_9ACTN	151.3187587626244
M4YX12_STREQ	149.6382721639824
R5YGP2_9FIRM	149.58502665202917
I6T669_ENTHA	149.568636235841
A0A2A4DVN9_ENTHR	148.95860731484177
A0A1L8RHH1_9ENTE	148.88605664769315
A0A0R1S4R8_9LACO	148.60205999132796
A0A0P6SHS4_9STRE	148.38721614328026
A0A0R1W1T1_9LACO	148.3187587626244
A0A0R2DGS6_9LACO	148.16749108729377
A0A1Q2D5C5_9ENTE	148.1249387366083
A0A0R2HZC9_9LACO	147.4202164033832
C5NZ04_9BACL	147.39794000867204
A0A0R1MNC7_9LACO	147.20065945054642
B0RZQ7_FINM2	146.95860731484177
A0A081BKX9_9LACO	146.6575773191778
