Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	3110.9	40.2	1	1	0.0e+00	0.0e+00	3110.70385742188	40.22	1	1371	1	1371	1	1371	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	2078.6	37.5	1	1	0.0e+00	0.0e+00	2078.40747070312	37.49	4	1371	3	1363	1	1363	0.99	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1776.7	44.7	1	1	0.0e+00	0.0e+00	1776.45593261719	44.66	5	1371	11	1377	8	1377	0.99	CRISPR-associated endonuclease Cas9		0
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1577.9	38.7	1	1	0.0e+00	0.0e+00	1577.77709960938	38.68	5	1371	5	1364	1	1364	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1530.7	41.2	1	1	0.0e+00	0.0e+00	1530.51489257812	41.24	4	1370	4	1358	1	1359	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1523.3	41.1	1	1	0.0e+00	0.0e+00	1523.07824707031	41.06	1	1369	1	1375	1	1377	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1404.6	30.9	1	1	0.0e+00	0.0e+00	1404.47265625	30.92	5	1371	4	1364	1	1364	0.95	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1394.5	43.4	1	1	0.0e+00	0.0e+00	1384.16235351562	43.36	4	1371	9	1396	6	1396	0.94	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1392.5	39.4	1	1	0.0e+00	0.0e+00	1392.31787109375	39.41	1	1371	1	1366	1	1366	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|J9W3C2|J9W3C2_LACBU CRISPR-associated endonuclease Cas9 OS=Lactobacillus buchneri CD034 OX=1071400 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1369.2	40.3	1	1	0.0e+00	0.0e+00	1368.85559082031	40.28	5	1371	4	1366	2	1366	0.95	CRISPR-associated endonuclease Cas9		0
