Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	3090.7	43.5	1	1	0.0e+00	0.0e+00	3090.55712890625	43.52	1	1369	1	1369	1	1369	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	2069.7	36.8	1	1	0.0e+00	0.0e+00	2069.51513671875	36.77	1	1369	1	1364	1	1364	0.99	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1866.8	38.3	1	1	0.0e+00	0.0e+00	1866.59289550781	38.29	1	1369	1	1368	1	1368	0.98	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1543.9	39.1	1	1	0.0e+00	0.0e+00	1543.69006347656	39.05	2	1367	3	1375	2	1377	0.95	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1529.9	36.3	1	1	0.0e+00	0.0e+00	1529.63061523438	36.28	3	1369	4	1366	2	1366	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1RFJ4_9LACO	A0A0R1RFJ4_9LACO	1336	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1379.3	37.1	1	1	0.0e+00	0.0e+00	1379.17492675781	37.14	21	1369	1	1336	1	1336	0.94	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1368.2	33.6	1	1	0.0e+00	0.0e+00	1367.89147949219	33.60	2	1328	2	1326	1	1330	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1360.7	38.6	1	1	0.0e+00	0.0e+00	1360.51281738281	38.63	1	1369	1	1366	1	1366	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1341.9	33.7	1	1	0.0e+00	0.0e+00	1341.73742675781	33.74	4	1369	4	1363	1	1363	0.95	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|A0A0R2DGS6|A0A0R2DGS6_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus rennini DSM 20253 OX=1423796 GN=cas9 PE=3 SV=1	-	1369	0.0e+00	1333.2	33.7	1	1	0.0e+00	0.0e+00	1332.86059570312	33.67	5	1369	6	1371	3	1371	0.94	CRISPR-associated endonuclease Cas9		0
