Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	3060.6	48.9	1	1	0.0e+00	0.0e+00	3060.46948242188	48.92	1	1365	1	1365	1	1365	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1645.9	38.3	1	1	0.0e+00	0.0e+00	1645.72265625	38.26	5	1358	4	1362	1	1363	0.96	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1532.1	39.2	1	1	0.0e+00	0.0e+00	1531.86340332031	39.16	4	1358	4	1370	1	1371	0.96	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1512.5	46.3	1	1	0.0e+00	0.0e+00	1512.24169921875	46.27	5	1357	11	1375	8	1377	0.96	CRISPR-associated endonuclease Cas9		0
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1452.2	40.8	1	1	0.0e+00	0.0e+00	1452.03588867188	40.82	4	1357	4	1362	1	1364	0.95	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1403.4	46.0	1	2	4.1e-40	4.2e-35	132.367263793945	0.11	5	131	10	138	7	149	0.95	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1403.4	46.0	2	2	0.0e+00	0.0e+00	1273.48107910156	41.65	124	1358	151	1395	141	1396	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1361.2	44.9	1	1	0.0e+00	0.0e+00	1360.94421386719	44.95	2	1357	2	1375	1	1378	0.94	CRISPR-associated endonuclease Cas9		0
I7L6U4_9LACO	I7L6U4_9LACO	1386	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1321.8	61.5	1	1	0.0e+00	0.0e+00	1321.6171875	61.45	4	1356	6	1383	3	1386	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0R2HZC9|A0A0R2HZC9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus secaliphilus OX=396268 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1275.3	42.3	1	1	0.0e+00	0.0e+00	1275.16552734375	42.26	4	1356	3	1363	1	1366	0.95	CRISPR-associated endonuclease Cas9		0
