Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	3005.2	38.3	1	1	0.0e+00	0.0e+00	3005.0595703125	38.26	1	1327	1	1327	1	1327	1.00	CRISPR-associated endonuclease Cas9		0
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1732.3	52.6	1	1	0.0e+00	0.0e+00	1732.1708984375	52.58	5	1326	3	1330	1	1331	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1688.4	52.5	1	1	0.0e+00	0.0e+00	1688.25573730469	52.49	1	1327	1	1341	1	1341	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1260.3	33.9	1	1	0.0e+00	0.0e+00	1260.12585449219	33.92	6	1327	3	1364	1	1364	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1242.0	40.0	1	1	0.0e+00	0.0e+00	1241.75231933594	39.97	6	1325	4	1375	1	1377	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1237.3	33.7	1	1	0.0e+00	0.0e+00	1237.06604003906	33.67	7	1327	4	1363	1	1363	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1235.1	35.7	1	1	0.0e+00	0.0e+00	1234.90625	35.72	6	1327	3	1369	1	1369	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1226.6	34.6	1	1	0.0e+00	0.0e+00	1226.37231445312	34.62	6	1327	3	1368	1	1368	0.92	CRISPR-associated endonuclease Cas9		0
A0A0C1M7A0_9LACO	A0A0C1M7A0_9LACO	942	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1221.8	33.0	1	1	0.0e+00	0.0e+00	1221.6328125	32.96	408	1327	1	942	1	942	0.97	CRISPR-associated protein, SAG0894 family		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1186.3	37.6	1	1	0.0e+00	0.0e+00	1186.04614257812	37.64	5	1326	3	1365	1	1366	0.91	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1184.2	35.4	1	1	0.0e+00	0.0e+00	1183.87829589844	35.36	6	1283	3	1323	1	1331	0.90	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|W9EE99|W9EE99_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus florum 8D OX=1221538 GN=cas9 PE=3 SV=1	-	1327	0.0e+00	1171.2	35.0	1	1	0.0e+00	0.0e+00	1170.84033203125	35.04	7	1327	5	1371	2	1371	0.91	CRISPR-associated endonuclease Cas9		0
