Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
M4YX12_STREQ	M4YX12_STREQ	1371	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	2648.5	47.4	1	1	0.0e+00	0.0e+00	2648.36572265625	47.43	1	1368	1	1371	1	1371	0.99	CRISPR-associated endonuclease Cas9		0
A0A0P6SHS4_9STRE	A0A0P6SHS4_9STRE	1368	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	2130.8	42.7	1	1	0.0e+00	0.0e+00	2130.44506835938	42.71	3	1368	5	1368	3	1368	0.99	CRISPR-associated endonuclease Cas9		0
G5KAN2_9STRE	G5KAN2_9STRE	1374	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	2056.1	47.2	1	1	0.0e+00	0.0e+00	2055.98193359375	47.23	4	1368	6	1374	1	1374	0.99	CRISPR-associated endonuclease Cas9		0
A0A1G6A5G6_9STRE	A0A1G6A5G6_9STRE	1378	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	2004.8	51.4	1	1	0.0e+00	0.0e+00	2004.67578125	51.42	1	1366	1	1376	1	1378	0.98	CRISPR-associated endonuclease Cas9		0
F9HIG7_9STRE	F9HIG7_9STRE	1371	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	1911.1	55.0	1	1	0.0e+00	0.0e+00	1910.83056640625	54.98	3	1368	4	1371	2	1371	0.99	CRISPR-associated endonuclease Cas9		0
A0A172Q7S3_9STRE	A0A172Q7S3_9STRE	1372	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	1894.1	55.4	1	1	0.0e+00	0.0e+00	1893.96130371094	55.41	3	1368	4	1371	1	1371	0.97	CRISPR-associated endonuclease Cas9		0
Q8E042_STRA5	Q8E042_STRA5	1370	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	1886.2	57.2	1	1	0.0e+00	0.0e+00	1886.04809570312	57.15	1	1368	1	1370	1	1370	0.98	CRISPR-associated endonuclease Cas9		0
A0A1Q8EAV4_9STRE	A0A1Q8EAV4_9STRE	1370	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	1875.8	41.0	1	1	0.0e+00	0.0e+00	1875.66149902344	40.98	3	1368	4	1370	1	1370	0.97	CRISPR-associated endonuclease Cas9		0
A0A1Q8RF43_9STRE	A0A1Q8RF43_9STRE	1343	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	1862.6	54.2	1	1	0.0e+00	0.0e+00	1862.37634277344	54.20	1	1368	1	1343	1	1343	0.98	CRISPR-associated endonuclease Cas9		0
CAS9_STRMU	CAS9_STRMU	1345	>sp|Q99ZW2|CAS9_STRP1 CRISPR-associated endonuclease Cas9/Csn1 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=cas9 PE=1 SV=1	-	1368	0.0e+00	1862.4	55.2	1	1	0.0e+00	0.0e+00	1862.1728515625	55.19	1	1368	1	1345	1	1345	0.98	CRISPR-associated endonuclease Cas9		0
