Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R2FVI8_9LACT	A0A0R2FVI8_9LACT	1309	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	0.0e+00	2956.4	34.1	1	1	0.0e+00	0.0e+00	2956.2177734375	34.06	1	1309	1	1309	1	1309	1.00	CRISPR-associated endonuclease Cas9		0
A0A0J5P9G6_9LACT	A0A0J5P9G6_9LACT	1319	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	0.0e+00	1408.3	32.4	1	1	0.0e+00	0.0e+00	1408.12365722656	32.39	2	1309	12	1319	11	1319	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R2HIR8_9LACT	A0A0R2HIR8_9LACT	1333	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	0.0e+00	1356.8	36.9	1	1	0.0e+00	0.0e+00	1356.5634765625	36.95	2	1309	22	1333	21	1333	0.96	CRISPR-associated endonuclease Cas9		0
J9YH95_LEUGJ	J9YH95_LEUGJ	1355	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	0.0e+00	1120.5	29.5	1	1	0.0e+00	0.0e+00	1120.12780761719	29.51	2	1301	12	1349	11	1354	0.89	CRISPR-associated endonuclease Cas9		0
X0QNI0_9LACO	X0QNI0_9LACO	1366	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	2.6e-302	1017.3	20.3	1	1	2.6e-307	3.2e-302	1016.99426269531	20.26	2	1301	14	1353	13	1360	0.90	CRISPR-associated endonuclease Cas9		0
G9WGU4_9LACT	G9WGU4_9LACT	1389	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	1.5e-284	958.5	33.2	1	1	2.7e-289	3.4e-284	957.317016601562	33.22	2	1307	14	1383	13	1385	0.87	CRISPR-associated endonuclease Cas9		0
A0A261F7M3_9BIFI	A0A261F7M3_9BIFI	1399	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	5.5e-278	936.7	25.2	1	1	1.1e-282	1.3e-277	935.461364746094	25.18	2	1308	21	1392	20	1393	0.85	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	7.7e-274	923.0	31.4	1	2	3.7e-271	4.7e-266	897.200439453125	29.96	2	1244	24	1368	23	1379	0.83	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	7.7e-274	923.0	31.4	2	2	2.7e-05	3.4	16.5882167816162	0.01	1247	1308	1402	1463	1382	1464	0.83	CRISPR-associated endonuclease Cas9		0
A0A0R2JE56_9LACT	A0A0R2JE56_9LACT	1370	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	1.4e-272	918.8	31.2	1	1	1.8e-277	2.3e-272	918.097961425781	31.18	2	1309	16	1364	15	1364	0.85	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	9.5e-229	773.6	31.0	1	1	9.6e-234	1.2e-228	773.295104980469	30.96	3	1306	16	1357	14	1360	0.82	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	4.1e-217	735.1	32.6	1	1	4.4e-222	5.6e-217	734.646850585938	32.61	2	1308	14	1366	13	1366	0.80	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	1.5e-216	733.2	33.8	1	1	1.9e-218	2.3e-213	722.652038574219	33.82	2	1304	15	1373	14	1377	0.79	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|A0A0R2FVI8|A0A0R2FVI8_9LACT CRISPR-associated endonuclease Cas9 OS=Weissella halotolerans DSM 20190 OX=1123500 GN=cas9 PE=3 SV=1	-	1309	2.8e-214	725.7	28.2	1	1	2.6e-219	3.3e-214	725.455139160156	28.24	2	1308	17	1327	16	1327	0.84	CRISPR-associated endonuclease Cas9		0
