Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0J5P9G6_9LACT	A0A0J5P9G6_9LACT	1319	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	0.0e+00	2947.6	39.6	1	1	0.0e+00	0.0e+00	2947.4208984375	39.62	1	1319	1	1319	1	1319	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R2HIR8_9LACT	A0A0R2HIR8_9LACT	1333	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	0.0e+00	1878.7	43.8	1	1	0.0e+00	0.0e+00	1878.52734375	43.79	1	1319	11	1333	11	1333	0.98	CRISPR-associated endonuclease Cas9		0
A0A0R2FVI8_9LACT	A0A0R2FVI8_9LACT	1309	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	0.0e+00	1408.5	28.5	1	1	0.0e+00	0.0e+00	1408.34204101562	28.46	12	1319	2	1309	1	1309	0.96	CRISPR-associated endonuclease Cas9		0
J9YH95_LEUGJ	J9YH95_LEUGJ	1355	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	0.0e+00	1064.8	38.8	1	1	2.3e-321	2.4e-316	1063.30639648438	38.77	1	1311	1	1349	1	1354	0.89	CRISPR-associated endonuclease Cas9		0
G9WGU4_9LACT	G9WGU4_9LACT	1389	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	3.9e-292	983.5	36.1	1	1	1.4e-296	1.5e-291	981.552795410156	36.14	3	1316	5	1382	3	1385	0.86	CRISPR-associated endonuclease Cas9		0
X0QNI0_9LACO	X0QNI0_9LACO	1366	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	1.2e-277	935.5	21.4	1	1	1.5e-282	1.6e-277	935.115112304688	21.35	3	1314	5	1356	3	1360	0.88	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	1.0e-268	905.9	32.9	1	3	1.5e-76	1.5e-71	252.797607421875	5.39	2	338	14	362	13	374	0.87	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	1.0e-268	905.9	32.9	2	3	7.2e-197	7.7e-192	651.284545898438	17.27	364	1221	420	1330	379	1346	0.87	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	1.0e-268	905.9	32.9	3	3	0.0085	910	8.45371627807617	0.03	1280	1318	1425	1463	1400	1464	0.87	CRISPR-associated endonuclease Cas9		0
A0A261F7M3_9BIFI	A0A261F7M3_9BIFI	1399	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	2.2e-268	904.8	24.2	1	1	6.5e-273	6.9e-268	903.174987792969	24.19	2	1318	11	1392	10	1393	0.86	CRISPR-associated endonuclease Cas9		0
A0A0R2JE56_9LACT	A0A0R2JE56_9LACT	1370	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	3.1e-250	844.7	35.3	1	1	4.3e-255	4.6e-250	844.152893066406	35.25	3	1319	7	1364	5	1364	0.86	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0J5P9G6|A0A0J5P9G6_9LACT CRISPR-associated endonuclease Cas9 OS=Fructobacillus sp. EFB-N1 OX=1658766 GN=cas9-2 PE=3 SV=1	-	1319	2.5e-220	745.6	36.7	1	1	2.8e-225	3.0e-220	745.384033203125	36.66	3	1317	5	1365	3	1366	0.82	CRISPR-associated endonuclease Cas9		0
