Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R1K630_9LACO	A0A0R1K630_9LACO	1376	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	3146.8	23.3	1	1	0.0e+00	0.0e+00	3146.66821289062	23.30	1	1376	1	1376	1	1376	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1MNC7_9LACO	A0A0R1MNC7_9LACO	1351	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1737.9	32.5	1	1	0.0e+00	0.0e+00	1736.66076660156	32.51	1	1376	1	1351	1	1351	0.98	CRISPR-associated endonuclease Cas9		0
A0A0R2DR00_9LACO	A0A0R2DR00_9LACO	1345	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1361.2	26.2	1	1	0.0e+00	0.0e+00	1359.7412109375	26.21	2	1376	2	1345	1	1345	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1153.1	32.8	1	1	0.0e+00	0.0e+00	1150.73815917969	32.76	2	1375	3	1376	2	1377	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1142.9	31.6	1	1	0.0e+00	0.0e+00	1141.35144042969	31.57	1	1376	1	1364	1	1364	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1128.9	34.0	1	1	0.0e+00	0.0e+00	1126.84533691406	34.01	1	1376	1	1369	1	1369	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1123.8	32.5	1	1	0.0e+00	0.0e+00	1119.56005859375	32.54	1	1376	1	1368	1	1368	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1100.1	32.2	1	1	0.0e+00	0.0e+00	1098.47778320312	32.23	1	1376	1	1366	1	1366	0.89	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1086.9	27.4	1	1	0.0e+00	0.0e+00	1085.0888671875	27.42	4	1376	4	1363	1	1363	0.90	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|A0A0R1K630|A0A0R1K630_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus namurensis DSM 19117 OX=1423773 GN=cas9 PE=3 SV=1	-	1376	0.0e+00	1082.6	23.7	1	1	0.0e+00	0.0e+00	1080.9541015625	23.73	4	1376	5	1371	2	1371	0.90	CRISPR-associated endonuclease Cas9		0
