Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1T4LEJ3_9ENTE	A0A1T4LEJ3_9ENTE	1589	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	0.0e+00	3501.1	102.8	1	1	0.0e+00	0.0e+00	3500.9443359375	102.75	1	1589	1	1589	1	1589	1.00	CRISPR-associated endonuclease Cas9		0
A0A1E5KUU0_9ENTE	A0A1E5KUU0_9ENTE	1438	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	2.5e-199	676.4	75.2	1	2	3.7e-78	4.4e-73	258.070007324219	27.50	2	459	3	400	2	418	0.87	CRISPR-associated endonuclease Cas9		0
A0A1E5KUU0_9ENTE	A0A1E5KUU0_9ENTE	1438	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	2.5e-199	676.4	75.2	2	2	7.5e-126	8.9e-121	416.112823486328	40.67	542	1588	430	1437	407	1438	0.75	CRISPR-associated endonuclease Cas9		0
CAS9_STRMU	CAS9_STRMU	1345	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.4e-164	561.3	73.1	1	2	3.6e-38	4.3e-33	125.534744262695	23.26	1	453	1	363	1	379	0.83	CRISPR-associated endonuclease Cas9		0
CAS9_STRMU	CAS9_STRMU	1345	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.4e-164	561.3	73.1	2	2	1.9e-128	2.3e-123	424.718811035156	42.18	547	1588	389	1339	373	1340	0.81	CRISPR-associated endonuclease Cas9		0
A0A1E8GQ60_9LACT	A0A1E8GQ60_9LACT	1358	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.4e-164	561.2	81.1	1	2	1.1e-50	1.3e-45	167.054229736328	22.63	3	452	13	388	11	396	0.85	CRISPR-associated endonuclease Cas9		0
A0A1E8GQ60_9LACT	A0A1E8GQ60_9LACT	1358	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.4e-164	561.2	81.1	2	2	1.6e-118	1.9e-113	391.808013916016	50.49	539	1589	407	1354	394	1354	0.83	CRISPR-associated endonuclease Cas9		0
A0A242K0X1_9ENTE	A0A242K0X1_9ENTE	1337	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	2.9e-164	560.2	61.4	1	2	7.0e-38	8.4e-33	124.575622558594	17.40	3	430	2	346	1	361	0.82	CRISPR-associated endonuclease Cas9		0
A0A242K0X1_9ENTE	A0A242K0X1_9ENTE	1337	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	2.9e-164	560.2	61.4	2	2	1.6e-128	1.9e-123	424.949645996094	36.02	541	1588	389	1335	369	1336	0.83	CRISPR-associated endonuclease Cas9		0
A0A1Q8RF43_9STRE	A0A1Q8RF43_9STRE	1343	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.1e-163	558.4	71.7	1	2	9.6e-40	1.1e-34	130.748199462891	24.11	1	446	1	354	1	377	0.80	CRISPR-associated endonuclease Cas9		0
A0A1Q8RF43_9STRE	A0A1Q8RF43_9STRE	1343	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.1e-163	558.4	71.7	2	2	3.7e-126	4.4e-121	417.14404296875	39.60	546	1588	386	1337	378	1338	0.79	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	7.5e-163	555.6	59.2	1	2	2.2e-39	2.7e-34	129.538436889648	18.80	1	453	1	369	1	386	0.81	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	7.5e-163	555.6	59.2	2	2	1.6e-126	1.9e-121	418.315643310547	32.37	546	1588	394	1329	386	1330	0.84	CRISPR-associated endonuclease Cas9		0
Q8E042_STRA5	Q8E042_STRA5	1370	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.7e-162	554.4	75.7	1	2	6.8e-37	8.1e-32	121.300796508789	23.22	1	453	1	364	1	379	0.80	CRISPR-associated endonuclease Cas9		0
Q8E042_STRA5	Q8E042_STRA5	1370	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.7e-162	554.4	75.7	2	2	1.1e-128	1.3e-123	425.487243652344	45.39	540	1588	387	1364	367	1365	0.80	CRISPR-associated endonuclease Cas9		0
F9HIG7_9STRE	F9HIG7_9STRE	1371	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	5.0e-162	552.8	75.2	1	2	1.5e-38	1.8e-33	126.784233093262	22.36	4	453	5	364	2	384	0.78	CRISPR-associated endonuclease Cas9		0
F9HIG7_9STRE	F9HIG7_9STRE	1371	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	5.0e-162	552.8	75.2	2	2	4.7e-126	5.6e-121	416.778259277344	44.88	547	1588	390	1365	383	1366	0.81	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.3e-161	551.5	67.4	1	4	2.7e-08	0.0032	26.5368576049805	0.10	1	38	1	38	1	42	0.94	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.3e-161	551.5	67.4	2	4	3.6e-30	4.2e-25	99.0426483154297	7.31	62	256	37	197	35	218	0.89	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.3e-161	551.5	67.4	3	4	7.6e-06	0.9	18.4205799102783	2.36	347	453	253	363	236	382	0.76	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|A0A1T4LEJ3|A0A1T4LEJ3_9ENTE CRISPR-associated endonuclease Cas9 OS=Pilibacter termitis OX=263852 GN=cas9 PE=3 SV=1	-	1589	1.3e-161	551.5	67.4	4	4	5.7e-126	6.8e-121	416.503265380859	38.58	547	1588	389	1326	381	1327	0.82	CRISPR-associated endonuclease Cas9		0
