Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	3156.6	17.1	1	1	0.0e+00	0.0e+00	3156.43994140625	17.14	1	1371	1	1371	1	1371	1.00	CRISPR-associated endonuclease Cas9		0
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	2622.5	16.1	1	1	0.0e+00	0.0e+00	2622.35913085938	16.09	1	1371	1	1371	1	1371	1.00	CRISPR-associated endonuclease Cas9		0
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1656.1	12.5	1	1	0.0e+00	0.0e+00	1655.919921875	12.47	1	1369	1	1378	1	1380	0.97	CRISPR-associated endonuclease Cas9		0
R5FLM1_9ACTN	R5FLM1_9ACTN	1415	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1573.3	16.7	1	1	0.0e+00	0.0e+00	1566.60266113281	16.71	1	1366	1	1412	1	1415	0.93	CRISPR-associated endonuclease Cas9		0
U2VD49_9ACTN	U2VD49_9ACTN	1395	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1556.0	13.2	1	1	0.0e+00	0.0e+00	1555.67468261719	13.20	1	1371	1	1395	1	1395	0.96	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1549.7	12.3	1	1	0.0e+00	0.0e+00	1549.54724121094	12.34	1	1371	1	1384	1	1384	0.96	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1502.1	15.5	1	1	0.0e+00	0.0e+00	1501.90283203125	15.50	2	1371	3	1396	2	1396	0.94	CRISPR-associated endonuclease Cas9		0
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1444.6	14.4	1	1	0.0e+00	0.0e+00	1444.43762207031	14.44	1	1371	1	1399	1	1399	0.94	CRISPR-associated endonuclease Cas9		0
R7D1C6_9ACTN	R7D1C6_9ACTN	1391	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1373.7	10.2	1	1	0.0e+00	0.0e+00	1373.48132324219	10.17	1	1371	1	1391	1	1391	0.94	CRISPR-associated endonuclease Cas9		0
U2U1P0_9ACTN	U2U1P0_9ACTN	1346	>tr|A0A2K2U9X6|A0A2K2U9X6_9ACTN CRISPR-associated endonuclease Cas9 OS=Enteroscipio rubneri OX=2070686 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1088.7	5.9	1	1	0.0e+00	0.0e+00	1088.34411621094	5.93	114	1367	58	1337	51	1340	0.91	CRISPR-associated endonuclease Cas9		0
