Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
U2VD49_9ACTN	U2VD49_9ACTN	1395	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	3220.5	19.5	1	1	0.0e+00	0.0e+00	3220.35009765625	19.46	1	1395	1	1395	1	1395	1.00	CRISPR-associated endonuclease Cas9		0
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	2503.9	18.6	1	1	0.0e+00	0.0e+00	2503.74951171875	18.61	1	1395	1	1399	1	1399	0.98	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1963.6	16.9	1	1	0.0e+00	0.0e+00	1963.35876464844	16.93	2	1395	3	1396	2	1396	0.97	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1957.4	13.1	1	1	0.0e+00	0.0e+00	1957.12377929688	13.08	1	1395	1	1384	1	1384	0.98	CRISPR-associated endonuclease Cas9		0
R7D1C6_9ACTN	R7D1C6_9ACTN	1391	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1714.0	8.8	1	1	0.0e+00	0.0e+00	1713.84106445312	8.76	1	1395	1	1391	1	1391	0.95	CRISPR-associated endonuclease Cas9		0
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1621.2	11.9	1	1	0.0e+00	0.0e+00	1620.95947265625	11.88	1	1393	1	1378	1	1380	0.97	CRISPR-associated endonuclease Cas9		0
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1557.4	12.5	1	1	0.0e+00	0.0e+00	1557.15759277344	12.54	1	1395	1	1371	1	1371	0.97	CRISPR-associated endonuclease Cas9		0
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1501.0	9.6	1	1	0.0e+00	0.0e+00	1500.81481933594	9.62	1	1395	1	1371	1	1371	0.95	CRISPR-associated endonuclease Cas9		0
R5FLM1_9ACTN	R5FLM1_9ACTN	1415	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	0.0e+00	1469.8	16.3	1	1	0.0e+00	0.0e+00	1469.25939941406	16.32	1	1393	1	1415	1	1415	0.92	CRISPR-associated endonuclease Cas9		0
A0A133YY65_9ACTN	A0A133YY65_9ACTN	1402	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	5.9e-310	1042.5	13.4	1	1	9.2e-315	6.7e-310	1042.30969238281	13.39	1	1395	1	1401	1	1401	0.86	CRISPR-associated endonuclease Cas9		0
U2U1P0_9ACTN	U2U1P0_9ACTN	1346	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	4.4e-300	1009.8	9.8	1	1	7.9e-305	5.8e-300	1009.40258789062	9.85	115	1391	58	1337	51	1340	0.88	CRISPR-associated endonuclease Cas9		0
R7I2K1_9CLOT	R7I2K1_9CLOT	1381	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	1.4e-204	693.4	38.1	1	1	8.6e-209	6.3e-204	691.196716308594	38.08	8	1390	9	1378	3	1381	0.84	CRISPR-associated endonuclease Cas9		0
A0A0R2HM97_9FIRM	A0A0R2HM97_9FIRM	1344	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	8.6e-187	634.4	35.0	1	1	1.3e-191	9.8e-187	634.235168457031	34.97	5	1390	4	1341	1	1344	0.82	CRISPR-associated endonuclease Cas9		0
A0A1I0EHL5_9FIRM	A0A1I0EHL5_9FIRM	1319	>tr|U2VD49|U2VD49_9ACTN CRISPR-associated endonuclease Cas9 OS=Olsenella profusa F0195 OX=1125712 GN=cas9 PE=3 SV=1	-	1395	6.7e-183	621.5	35.9	1	1	1.1e-187	8.3e-183	621.226867675781	35.89	9	1390	7	1316	2	1319	0.83	CRISPR-associated endonuclease Cas9		0
