Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	2987.3	73.0	1	1	0.0e+00	0.0e+00	2987.126953125	72.96	1	1331	1	1331	1	1331	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	2331.3	73.6	1	1	0.0e+00	0.0e+00	2331.04467773438	73.64	5	1330	7	1340	3	1341	0.97	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1738.1	42.6	1	1	0.0e+00	0.0e+00	1737.91564941406	42.62	3	1330	5	1326	3	1327	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1270.2	55.9	1	1	0.0e+00	0.0e+00	1266.61083984375	55.87	2	1329	2	1375	1	1377	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1258.0	37.1	1	1	0.0e+00	0.0e+00	1256.00939941406	37.09	2	1330	2	1363	1	1364	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1254.7	42.2	1	1	0.0e+00	0.0e+00	1254.037109375	42.21	4	1330	3	1368	1	1369	0.91	CRISPR-associated endonuclease Cas9		0
A0A0C1M7A0_9LACO	A0A0C1M7A0_9LACO	942	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1254.2	41.0	1	1	0.0e+00	0.0e+00	1253.99060058594	41.02	408	1330	1	941	1	942	0.96	CRISPR-associated protein, SAG0894 family		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1230.4	44.3	1	1	0.0e+00	0.0e+00	1228.26391601562	44.27	5	1256	4	1278	1	1330	0.91	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1213.9	49.3	1	2	0.0e+00	0.0e+00	1141.93444824219	38.80	4	1187	4	1186	1	1192	0.95	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1213.9	49.3	2	2	9.0e-24	1.0e-18	77.8884124755859	2.77	1169	1330	1194	1370	1189	1371	0.84	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1206.7	45.4	1	1	0.0e+00	0.0e+00	1206.51574707031	45.40	4	1330	3	1365	1	1366	0.91	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1202.6	51.1	1	1	0.0e+00	0.0e+00	1200.5576171875	51.13	1	1330	1	1365	1	1366	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|G2KVM6|G2KVM6_LACSM CRISPR-associated endonuclease Cas9 OS=Lactobacillus sanfranciscensis (strain TMW 1.1304) OX=714313 GN=cas9 PE=3 SV=1	-	1331	0.0e+00	1199.0	44.0	1	1	0.0e+00	0.0e+00	1194.79809570312	43.96	5	1330	4	1362	1	1363	0.91	CRISPR-associated endonuclease Cas9		0
