Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1G9IV55_9CLOT	A0A1G9IV55_9CLOT	1371	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	3098.6	39.2	1	1	0.0e+00	0.0e+00	3098.41650390625	39.16	1	1371	1	1371	1	1371	1.00	CRISPR-associated endonuclease Cas9		0
R5RU71_9CLOT	R5RU71_9CLOT	1349	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1242.6	40.6	1	1	0.0e+00	0.0e+00	1242.46728515625	40.64	25	1364	4	1346	1	1349	0.95	CRISPR-associated endonuclease Cas9		0
D4J3S7_9FIRM	D4J3S7_9FIRM	1338	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1228.0	32.9	1	1	0.0e+00	0.0e+00	1227.802734375	32.86	24	1366	3	1337	1	1338	0.94	CRISPR-associated endonuclease Cas9		0
R9MHT9_9FIRM	R9MHT9_9FIRM	1338	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1222.5	18.5	1	1	0.0e+00	0.0e+00	1222.29504394531	18.48	25	1366	3	1337	1	1338	0.94	CRISPR-associated endonuclease Cas9		0
B5CL59_9FIRM	B5CL59_9FIRM	1341	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1220.4	36.5	1	1	0.0e+00	0.0e+00	1220.138671875	36.49	25	1366	4	1340	2	1341	0.94	CRISPR-associated endonuclease Cas9		0
R5SXF4_9CLOT	R5SXF4_9CLOT	1356	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1202.0	34.0	1	1	0.0e+00	0.0e+00	1201.78759765625	34.00	20	1364	1	1353	1	1356	0.93	CRISPR-associated endonuclease Cas9		0
R6ZAM8_9CLOT	R6ZAM8_9CLOT	1340	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1185.3	24.5	1	1	0.0e+00	0.0e+00	1185.14135742188	24.49	24	1364	3	1337	1	1340	0.92	CRISPR-associated endonuclease Cas9		0
R6ET93_9FIRM	R6ET93_9FIRM	1370	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1105.3	38.0	1	1	0.0e+00	0.0e+00	1104.39770507812	37.95	20	1364	5	1370	1	1370	0.90	CRISPR-associated endonuclease Cas9		0
A0A1Y3X8W7_9FIRM	A0A1Y3X8W7_9FIRM	1346	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1077.8	14.2	1	2	8.8e-241	1.0e-235	796.517700195312	7.00	22	998	2	957	1	963	0.93	CRISPR-associated endonuclease Cas9		0
A0A1Y3X8W7_9FIRM	A0A1Y3X8W7_9FIRM	1346	>tr|A0A1G9IV55|A0A1G9IV55_9CLOT CRISPR-associated endonuclease Cas9 OS=Sarcina sp. DSM 11001 OX=1798184 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1077.8	14.2	2	2	1.1e-86	1.3e-81	286.029876708984	0.65	995	1366	977	1342	964	1346	0.95	CRISPR-associated endonuclease Cas9		0
