Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A083WSF6_9FLAO	A0A083WSF6_9FLAO	370	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	6.9e-243	816.3	20.3	1	1	6.2e-248	7.7e-243	816.0947265625	20.34	1	370	1	370	1	370	1.00	Uncharacterized protein		0
A0A239F7U0_9BACT	A0A239F7U0_9BACT	373	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	7.6e-138	470.7	10.3	1	1	7.2e-143	8.9e-138	470.490203857422	10.31	3	369	4	370	2	371	0.99	HNH endonuclease		0
A0A1J5FU09_9BACT	A0A1J5FU09_9BACT	370	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	5.8e-137	467.8	13.2	1	1	5.4e-142	6.7e-137	467.605194091797	13.21	3	370	4	370	2	370	0.99	Uncharacterized protein		0
A0A1T5DVP5_9BACT	A0A1T5DVP5_9BACT	365	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	6.4e-134	457.8	13.9	1	1	5.8e-139	7.2e-134	457.640411376953	13.95	5	370	2	365	1	365	0.99	HNH endonuclease		0
A0A1H5W028_9BACT	A0A1H5W028_9BACT	376	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	1.8e-126	433.3	7.8	1	1	1.7e-131	2.2e-126	433.046173095703	7.79	2	369	3	369	2	370	0.98	HNH endonuclease		0
A0A256A4J1_9FLAO	A0A256A4J1_9FLAO	338	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	7.1e-125	428.0	3.5	1	1	7.2e-130	9.0e-125	427.710296630859	3.55	3	326	4	325	2	329	0.97	Uncharacterized protein		0
M7XDF2_9BACT	M7XDF2_9BACT	370	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	1.6e-123	423.6	10.0	1	1	1.4e-128	1.8e-123	423.428894042969	10.05	2	369	3	369	2	370	0.99	Uncharacterized protein		0
A0A2I0NS84_9EURY	A0A2I0NS84_9EURY	383	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	1.4e-88	308.7	0.0	1	1	1.3e-93	1.7e-88	308.418029785156	0.00	7	369	8	382	4	383	0.92	Uncharacterized protein		0
I7LJ22_METBM	I7LJ22_METBM	383	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	4.3e-88	307.1	0.0	1	1	4.2e-93	5.2e-88	306.778778076172	0.00	7	370	8	383	4	383	0.92	HNH endonuclease		0
A0A0C1VH00_9CYAN	A0A0C1VH00_9CYAN	396	>tr|A0A083WSF6|A0A083WSF6_9FLAO Uncharacterized protein OS=Chryseobacterium antarcticum OX=266748 GN=HY04_12515 PE=4 SV=1	-	370	5.9e-88	306.6	0.8	1	1	5.5e-93	6.8e-88	306.401641845703	0.77	4	369	17	395	14	396	0.92	Uncharacterized protein (Fragment)		0
