	A0A081BKX9_9LACO	A0A083WSF6_9FLAO	A0A0D0YUU5_9LACO	A0A0H4LAX2_9LACO	A0A0J5P9G6_9LACT	A0A0R1K630_9LACO	A0A0R1MNC7_9LACO	A0A0R1RFJ4_9LACO	A0A0R1RRH5_9LACO	A0A0R1S2S1_9LACO	A0A0R1WWN2_9LACO	A0A0R2DGS6_9LACO	A0A0R2DLB6_9LACO	A0A0R2FVI8_9LACT	A0A0R2HM97_9FIRM	A0A0R2HZC9_9LACO	A0A0R2I8Q5_9LACO	A0A0R2JSC5_9LACO	A0A133YDF1_9FIRM	A0A1E5KUU0_9ENTE	A0A1G9IV55_9CLOT	A0A1I0EHL5_9FIRM	A0A1P8Q111_9LACO	A0A1T4LEJ3_9ENTE	A0A1X4N9Z9_9PROT	A0A1Y4G2J4_9ACTN	A0A261F7M3_9BIFI	A0A2A2AHF0_9BURK	A0A2K2U9X6_9ACTN	B5CL59_9FIRM	C2D302_LACBR	D4J3S7_9FIRM	E0NI75_PEDAC	E1QW44_OLSUV	E2SS22_9FIRM	F7UWL3_EEGSY	G2KVM6_LACSM	I7L6U4_9LACO	J9W3C2_LACBU	M4YX12_STREQ	R5FLM1_9ACTN	R5RU71_9CLOT	R5SXF4_9CLOT	R6I3U9_9ACTN	R6ZAM8_9CLOT	R7GMQ9_9FIRM	R7I2K1_9CLOT	R7N9S8_9FIRM	R9MHT9_9FIRM	T0UPW4_9STRE	T0UXW1_9STRE	U2VD49_9ACTN	W9EE99_9LACO	X0QNI0_9LACO
M4YX12_STREQ	171.2839966563652	2.494850021680094	159.26760624017703	176.06550154875646	157.2757241303992	152.58502665202914	151.03151705144606	153.03621217265444	175.09151498112138	161.568636235841	159.92081875395237	162.85387196432174	146.88605664769315	154.3565473235138	183.07058107428568	161.4089353929735	165.72124639904717	161.25963731050575	215.2076083105017	208.7958800173441	144.85387196432174	176.27572413039917	174.21467016498923	148.3098039199715	3.4436974992327127	153.92081875395237	164.08618614761627	3.337242168318426	156.46852108295775	165.431798275933	151.50863830616572	160.55284196865782	164.34678748622466	149.1487416512809		154.65757731917782	159.6197887582884	145.50863830616572	158.0	1000000.0	156.2518119729938	151.52287874528034	152.7695510786217	155.69897000433602	156.6777807052661	175.20065945054642	177.02227639471116	149.6382721639824	154.45593195564973	165.02227639471116	257.3467874862247	156.60205999132796	168.74472749489667	157.74472749489667
A0A081BKX9_9LACO	1000000.0		1000000.0	177.2924298239021	213.00436480540245	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	267.602059991328	206.31875876262438	175.40893539297352	1000000.0	1000000.0	1000000.0	124.32790214206429	163.42021640338317	157.15490195998575	159.6777807052661	178.63827216398238	126.88605664769315	6.552841968657781	136.4436974992327	178.39794000867204	9.602059991327963	141.33724216831845	162.16749108729377	1000000.0	165.6382721639824	1000000.0	135.08092190762392		143.55284196865782	1000000.0	1000000.0	1000000.0	168.7958800173441	138.82390874094432	158.02227639471116	167.2518119729938	142.48148606012208	163.6382721639824	173.2839966563652	168.95860731484174	146.65757731917782	161.17392519729918	57.958607314841785	94.13076828026901	136.82390874094432	1000000.0	193.14266750356876
A0A1G9IV55_9CLOT	157.52287874528034		155.01322826573374	142.85387196432174	147.4089353929735	142.06550154875646	143.53760200210104	132.45593195564973	160.69897000433602	152.7958800173441	152.18045606445813	147.32790214206432	133.03621217265444	146.88605664769315	170.72124639904717	164.82390874094432	159.13667713987954	134.431798275933	107.30980391997149	124.32790214206429	1000000.0	186.9208187539524	160.6197887582884	98.8239087409443	3.744727494896694	150.46852108295775	132.431798275933	6.657577319177793	151.44369749923268	1000000.0	156.20760831050174	1000000.0	165.74472749489667	150.95860731484174		152.2518119729938	154.3565473235138	155.60205999132796	158.7958800173441	149.85387196432174	151.42021640338317	1000000.0	1000000.0	154.0	1000000.0	168.21467016498923	180.7958800173441	153.42021640338317	1000000.0	53.50863830616572	60.050609993355096	159.7695510786217	147.45593195564973	140.4436974992327
C2D302_LACBR	1000000.0		1000000.0	193.7212463990472	210.04575749056067	306.92081875395235	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	204.36653154442038	167.05551732784986	1000000.0	1000000.0	1000000.0	121.01322826573376	145.13667713987954	155.6777807052661	154.16749108729377	188.07058107428568	112.25963731050577		147.6197887582884	179.85387196432174	6.619788758288393	155.16115090926274	161.7695510786217	1000000.0	158.3098039199715	1000000.0	153.17392519729918		154.32790214206432	1000000.0	1000000.0	1000000.0	149.6382721639824	151.2518119729938	157.07572071393813	168.85387196432174	154.53760200210104	168.00877392430755	159.0268721464003	162.85387196432174	143.4089353929735	162.23657200643706	48.29242982390206	93.6575773191778	158.39794000867204	1000000.0	207.12493873660833
A0A1P8Q111_9LACO	177.3098039199715		186.7958800173441	1000000.0	192.40893539297352	166.55284196865782	170.06048074738138	164.55284196865782	184.88605664769312	186.85387196432174	194.88605664769312	180.15490195998572	177.7958800173441	209.9208187539524	231.60205999132802	195.07572071393815	189.61978875828842	193.16115090926274	108.88605664769315	154.45593195564973	158.92081875395237	217.18045606445813	1000000.0	116.19382002601613		181.88605664769312	210.7447274948967		183.95860731484177	177.72124639904717	186.69897000433602	170.2441251443275	194.46852108295772	177.44369749923268		191.2076083105017	195.5086383061657	188.5850266520292	189.34678748622463	175.65757731917782	175.65757731917782	185.4814860601221	178.20065945054642	185.2441251443275	175.82390874094432	221.4948500216801	227.14874165128086	167.7695510786217	154.85387196432174	68.48148606012211	80.38721614328027	180.42021640338317	190.88605664769312	216.95860731484177
B5CL59_9FIRM	162.2518119729938		163.0809219076239	165.46852108295775	164.44369749923268	149.82390874094432	159.22914798835785	159.85387196432174	179.88605664769312	167.58502665202914	173.13667713987954	164.60205999132796	154.4948500216801	168.08618614761627	190.69897000433602	185.7695510786217	165.7695510786217	161.6197887582884	129.95860731484177	150.74472749489667	1000000.0	191.9208187539524	179.44369749923268	118.07058107428571	8.387216143280265	164.20760831050174	154.82390874094432	5.3872161432802645	162.88605664769315	1000000.0	162.23657200643706	1000000.0	186.2839966563652	157.2839966563652		159.82390874094432	165.2006594505464	171.72124639904717	169.55284196865782	165.60205999132796	161.88605664769315	1000000.0	1000000.0	177.31875876262438	1000000.0	197.36653154442038	188.0	168.09151498112138	1000000.0	69.55284196865779	73.13076828026901	157.02227639471116	167.92081875395237	162.74472749489667
A0A0D0YUU5_9LACO	1000000.0		1000000.0	172.63827216398238	207.82390874094432	314.92081875389647	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	288.29242982390207	198.69897000433602	169.74472749489667	1000000.0	1000000.0	1000000.0	110.30980391997149	149.10790539730948	155.30102999566398	169.85387196432174	188.13667713987957	118.18045606445813		139.37675070960208	158.42021640338317	9.886056647693165	145.3098039199715	162.92081875395237	1000000.0	157.92081875395237	1000000.0	146.45593195564973		157.0	1000000.0	1000000.0	1000000.0	158.92081875395237	148.92081875395237	155.25963731050575	154.53760200210104	153.88605664769315	164.2924298239021	170.2757241303992	166.92081875395237	157.16749108729377	162.22184874961638	49.10237290870956	85.72124639904717	151.95860731484174	1000000.0	193.5850266520292
A0A0H4LAX2_9LACO	175.6777807052661		170.53760200210104	1000000.0	174.42021640338317	159.37675070960208	175.92081875395237	163.92081875395237	194.39794000867204	188.7447274948967	184.46852108295772	180.36653154442038	164.85387196432174	172.95860731484177	208.9208187539524	188.46852108295772	189.31875876262438	179.42021640338317	128.3665315444204	154.72124639904717	140.431798275933	201.82390874094432	1000000.0	118.56863623584101		180.60205999132802	182.26760624017703	3.9208187539523753	191.4948500216801	164.82390874094432	192.7695510786217	161.37675070960208	181.0	164.32790214206432		183.5528419686578	181.7958800173441	170.7958800173441	184.9208187539524	174.92081875395237	172.4814860601221	157.18045606445813	164.92081875395237	181.2518119729938	160.31875876262438	203.05551732784986	225.0	168.82390874094432	152.95860731484174	62.76955107862173	84.03151705144606	178.4814860601221	196.65757731917782	188.18708664335716
A0A0R1S2S1_9LACO	1000000.0		1000000.0	190.7212463990472	216.13076828026902	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	198.02227639471118	169.74472749489667	1000000.0	1000000.0	1000000.0	119.8239087409443	146.20760831050174	152.58502665202914	160.0506099933551	189.3098039199715	117.95860731484177	4.6777807052660805	146.95860731484174	184.61978875828842	6.1487416512809245	151.4089353929735	167.85387196432174	1000000.0	167.2006594505464	1000000.0	164.6197887582884	2.0222763947111524	158.11350927482755	1000000.0	1000000.0	1000000.0	165.74472749489667	148.7958800173441	165.95860731484174	170.0506099933551	159.7695510786217	165.88605664769315	161.82390874094432	163.72124639904717	137.6197887582884	169.2839966563652	47.09151498112135	88.36653154442041	165.2924298239021	1000000.0	193.26760624017703
A0A0R1WWN2_9LACO	1000000.0		1000000.0	186.85387196432174	212.18045606445813	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	290.36653154442035	202.7212463990472	161.72124639904717	1000000.0	1000000.0	1000000.0	115.69897000433602	153.30102999566398	151.72124639904717	161.34678748622466	196.85387196432174	131.22914798835785		147.15490195998575	181.7212463990472	10.173925197299171	144.30102999566398	173.19382002601608	1000000.0	170.13076828026902	1000000.0	153.21467016498923		156.6777807052661	1000000.0	1000000.0	1000000.0	158.07058107428568	147.53760200210104	163.82390874094432	172.45593195564973	166.431798275933	162.82390874094432	152.48148606012208	168.58502665202914	160.3565473235138	169.82390874094432	54.236572006437065	87.72124639904716	155.55284196865782	1000000.0	205.88605664769312
A0A0R2DGS6_9LACO	1000000.0		1000000.0	182.7447274948967	199.30102999566398	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	292.8860566476932	196.61978875828842	170.69897000433602	1000000.0	1000000.0	1000000.0	122.19382002601613	160.0409586076789	147.3665315444204	157.2757241303992	182.23657200643703	123.79588001734407	4.346787486224656	145.2757241303992	177.44369749923268	10.080921907623924	146.88605664769315	163.95860731484174	1000000.0	164.13667713987954	1000000.0	147.34678748622466		155.20760831050174	1000000.0	1000000.0	1000000.0	164.4948500216801	142.6382721639824	168.7958800173441	162.2924298239021	155.13667713987954	160.18045606445813	165.0506099933551	162.38721614328026	148.16749108729377	163.55284196865782	52.6575773191778	96.85387196432177	155.09691001300806	1000000.0	203.7958800173441
