Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R2HM97_9FIRM	A0A0R2HM97_9FIRM	1344	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	0.0e+00	3021.8	87.1	1	1	0.0e+00	0.0e+00	3021.6455078125	87.05	1	1344	1	1344	1	1344	1.00	CRISPR-associated endonuclease Cas9		0
R7GMQ9_9FIRM	R7GMQ9_9FIRM	1333	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	0.0e+00	1705.9	66.8	1	1	0.0e+00	0.0e+00	1705.72900390625	66.78	3	1344	3	1333	1	1333	0.98	CRISPR-associated endonuclease Cas9		0
A0A1I0EHL5_9FIRM	A0A1I0EHL5_9FIRM	1319	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	0.0e+00	1387.9	95.2	1	1	0.0e+00	0.0e+00	1387.74182128906	95.22	8	1344	7	1319	1	1319	0.97	CRISPR-associated endonuclease Cas9		0
R7I2K1_9CLOT	R7I2K1_9CLOT	1381	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	8.3e-278	936.3	73.0	1	1	9.9e-281	1.1e-275	929.322937011719	73.03	8	1340	10	1377	3	1380	0.87	CRISPR-associated endonuclease Cas9		0
A0A1P8Q111_9LACO	A0A1P8Q111_9LACO	1365	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	2.5e-232	785.6	66.4	1	1	3.0e-237	3.2e-232	785.274658203125	66.36	8	1339	7	1359	1	1363	0.85	CRISPR-associated endonuclease Cas9		0
R5MT23_9MOLU	R5MT23_9MOLU	1345	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	3.3e-216	732.2	87.0	1	1	3.6e-221	3.9e-216	732.013916015625	86.96	9	1340	4	1338	1	1342	0.84	CRISPR-associated endonuclease Cas9		0
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	4.4e-214	725.2	0.0	1	1	4.7e-219	5.0e-214	725.01318359375	0.04	4	1341	4	1366	1	1369	0.84	CRISPR-associated endonuclease Cas9		0
R7N9S8_9FIRM	R7N9S8_9FIRM	1426	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	2.5e-211	716.1	95.4	1	1	8.6e-215	9.2e-210	710.8916015625	95.44	8	1341	1	1412	1	1415	0.80	CRISPR-associated endonuclease Cas9		0
A0A0H4LAX2_9LACO	A0A0H4LAX2_9LACO	1356	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	1.2e-209	710.6	67.3	1	1	1.2e-214	1.3e-209	710.39111328125	67.34	7	1341	6	1352	1	1355	0.85	CRISPR-associated endonuclease Cas9		0
R7KBA0_9CLOT	R7KBA0_9CLOT	1343	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	1.4e-209	710.3	96.0	1	1	1.5e-214	1.6e-209	710.103332519531	95.99	6	1343	4	1342	1	1343	0.81	CRISPR-associated endonuclease Cas9		0
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	3.6e-206	699.0	0.0	1	1	3.8e-211	4.1e-206	698.789672851562	0.00	4	1341	4	1366	1	1369	0.81	CRISPR-associated endonuclease Cas9		0
A0A1Q2D5C5_9ENTE	A0A1Q2D5C5_9ENTE	1332	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	1.3e-205	697.1	45.3	1	1	1.6e-210	1.7e-205	696.757446289062	45.25	9	1344	5	1330	2	1330	0.85	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	1.4e-201	683.8	45.8	1	1	1.5e-206	1.6e-201	683.566711425781	45.78	6	1343	2	1328	1	1329	0.81	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	2.7e-199	676.2	2.0	1	1	3.4e-204	3.6e-199	675.786682128906	2.03	9	1223	10	1266	4	1381	0.83	CRISPR-associated endonuclease Cas9		0
A0A1Q8RF43_9STRE	A0A1Q8RF43_9STRE	1343	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	5.0e-196	665.4	56.4	1	1	5.2e-201	5.6e-196	665.222351074219	56.39	7	1260	3	1255	1	1337	0.82	CRISPR-associated endonuclease Cas9		0
R6P3Z6_9FIRM	R6P3Z6_9FIRM	1356	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	3.0e-195	662.8	64.5	1	1	3.9e-200	4.2e-195	662.321044921875	64.55	9	1339	6	1348	2	1353	0.84	CRISPR-associated endonuclease Cas9		0
H3NFH0_9LACT	H3NFH0_9LACT	1332	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	3.6e-195	662.5	57.0	1	1	3.9e-200	4.2e-195	662.318786621094	57.04	7	1343	3	1328	1	1329	0.80	CRISPR-associated endonuclease Cas9		0
R6ZAM8_9CLOT	R6ZAM8_9CLOT	1340	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	4.1e-195	662.4	31.5	1	1	5.8e-200	6.2e-195	661.764953613281	31.52	9	1341	5	1334	2	1337	0.85	CRISPR-associated endonuclease Cas9		0
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	1.5e-194	660.5	7.3	1	1	1.5e-199	1.7e-194	660.34814453125	7.30	8	1343	8	1377	1	1378	0.82	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	2.0e-194	660.1	13.9	1	1	2.3e-199	2.4e-194	659.790771484375	13.89	6	1341	8	1391	3	1394	0.79	CRISPR-associated endonuclease Cas9		0
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	8.1e-193	654.8	13.1	1	1	9.5e-198	1.0e-192	654.428100585938	13.07	4	1230	5	1280	2	1393	0.82	CRISPR-associated endonuclease Cas9		0
E0NJ84_9FIRM	E0NJ84_9FIRM	1364	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	1.2e-192	654.1	95.0	1	1	1.6e-197	1.7e-192	653.662231445312	95.04	5	1297	3	1315	1	1361	0.84	CRISPR-associated endonuclease Cas9		0
A0A1I6SZS7_9BACI	A0A1I6SZS7_9BACI	1336	>tr|A0A0R2HM97|A0A0R2HM97_9FIRM CRISPR-associated endonuclease Cas9 OS=Kandleria vitulina DSM 20405 OX=1410657 GN=cas9 PE=3 SV=1	-	1344	4.3e-192	652.3	56.3	1	1	4.5e-197	4.9e-192	652.180908203125	56.26	7	1339	3	1331	1	1336	0.81	CRISPR-associated endonuclease Cas9		0
