Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	3172.9	16.6	1	1	0.0e+00	0.0e+00	3172.73706054688	16.64	1	1380	1	1380	1	1380	1.00	CRISPR-associated endonuclease Cas9		0
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1656.2	9.5	1	1	0.0e+00	0.0e+00	1656.00146484375	9.48	1	1378	1	1369	1	1371	0.97	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1625.8	16.4	1	1	0.0e+00	0.0e+00	1625.63415527344	16.43	2	1379	3	1395	2	1396	0.95	CRISPR-associated endonuclease Cas9		0
U2VD49_9ACTN	U2VD49_9ACTN	1395	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1619.9	9.5	1	1	0.0e+00	0.0e+00	1619.63049316406	9.54	1	1378	1	1393	1	1395	0.96	CRISPR-associated endonuclease Cas9		0
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1617.7	5.5	1	1	0.0e+00	0.0e+00	1617.55822753906	5.54	1	1378	1	1369	1	1371	0.96	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1617.4	9.9	1	1	0.0e+00	0.0e+00	1617.20983886719	9.94	7	1378	8	1382	1	1384	0.97	CRISPR-associated endonuclease Cas9		0
R5FLM1_9ACTN	R5FLM1_9ACTN	1415	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1560.8	18.5	1	1	0.0e+00	0.0e+00	1559.83374023438	18.51	2	1376	2	1413	1	1415	0.92	CRISPR-associated endonuclease Cas9		0
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1531.6	12.4	1	1	0.0e+00	0.0e+00	1531.38366699219	12.39	1	1379	1	1398	1	1399	0.95	CRISPR-associated endonuclease Cas9		0
R7D1C6_9ACTN	R7D1C6_9ACTN	1391	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1441.0	11.2	1	1	0.0e+00	0.0e+00	1440.87939453125	11.15	1	1378	1	1389	1	1391	0.93	CRISPR-associated endonuclease Cas9		0
A0A133YY65_9ACTN	A0A133YY65_9ACTN	1402	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	0.0e+00	1105.2	12.0	1	1	0.0e+00	0.0e+00	1105.01965332031	12.00	1	1378	1	1399	1	1401	0.88	CRISPR-associated endonuclease Cas9		0
U2U1P0_9ACTN	U2U1P0_9ACTN	1346	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	2.4e-316	1064.8	9.0	1	1	2.1e-321	2.4e-316	1064.41650390625	9.04	114	1377	58	1338	54	1341	0.90	CRISPR-associated endonuclease Cas9		0
R7I2K1_9CLOT	R7I2K1_9CLOT	1381	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	5.5e-218	738.2	37.0	1	1	2.1e-222	2.4e-217	736.063537597656	36.97	3	1375	5	1378	3	1381	0.84	CRISPR-associated endonuclease Cas9		0
A0A1P8Q111_9LACO	A0A1P8Q111_9LACO	1365	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	6.2e-192	651.9	19.1	1	1	1.7e-195	1.9e-190	646.971801757812	19.11	5	1264	4	1245	1	1256	0.83	CRISPR-associated endonuclease Cas9		0
A0A0R2HM97_9FIRM	A0A0R2HM97_9FIRM	1344	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	5.5e-190	645.4	27.8	1	1	5.4e-195	6.2e-190	645.269958496094	27.84	8	1377	8	1343	1	1344	0.84	CRISPR-associated endonuclease Cas9		0
R7GMQ9_9FIRM	R7GMQ9_9FIRM	1333	>tr|F7UWL3|F7UWL3_EEGSY CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. (strain YY7918) OX=502558 GN=cas9 PE=3 SV=1	-	1380	1.7e-189	643.8	19.9	1	1	1.7e-194	1.9e-189	643.648315429688	19.92	5	1377	4	1332	1	1333	0.83	CRISPR-associated endonuclease Cas9		0
