Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
C2D302_LACBR	C2D302_LACBR	1377	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	3116.4	50.6	1	1	0.0e+00	0.0e+00	3116.20483398438	50.57	1	1377	1	1377	1	1377	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1860.0	40.9	1	1	0.0e+00	0.0e+00	1859.7490234375	40.89	11	1377	4	1363	2	1363	0.98	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1779.0	42.0	1	1	0.0e+00	0.0e+00	1778.78295898438	41.98	11	1377	5	1371	2	1371	0.99	CRISPR-associated endonuclease Cas9		0
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1614.4	41.6	1	1	0.0e+00	0.0e+00	1614.13977050781	41.63	11	1377	5	1364	2	1364	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1SG79_9LACO	A0A0R1SG79_9LACO	1376	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1541.8	28.4	1	1	0.0e+00	0.0e+00	1541.53283691406	28.39	11	1377	18	1376	8	1376	0.98	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1512.9	46.1	1	1	0.0e+00	0.0e+00	1512.65356445312	46.13	11	1375	5	1357	2	1359	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1488.9	45.4	1	1	0.0e+00	0.0e+00	1488.59643554688	45.41	11	1375	5	1375	2	1377	0.96	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1427.2	47.3	1	2	2.0e-44	2.0e-39	146.919921875	0.18	10	143	9	144	1	153	0.91	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1427.2	47.3	2	2	0.0e+00	0.0e+00	1284.26098632812	42.31	130	1377	151	1396	144	1396	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1382.3	44.7	1	1	0.0e+00	0.0e+00	1382.15441894531	44.69	11	1377	4	1366	1	1366	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1353.8	35.4	1	1	0.0e+00	0.0e+00	1353.51525878906	35.44	11	1377	4	1364	2	1364	0.95	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1330.0	41.8	1	1	0.0e+00	0.0e+00	1329.75256347656	41.77	11	1377	5	1366	2	1366	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1326.8	36.6	1	1	0.0e+00	0.0e+00	1326.5166015625	36.59	11	1377	4	1368	2	1368	0.95	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1322.7	39.1	1	1	0.0e+00	0.0e+00	1322.35278320312	39.14	11	1336	4	1326	2	1330	0.96	CRISPR-associated endonuclease Cas9		0
I7L6U4_9LACO	I7L6U4_9LACO	1386	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1304.3	60.6	1	1	0.0e+00	0.0e+00	1303.91906738281	60.61	12	1377	8	1386	4	1386	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1290.7	37.4	1	1	0.0e+00	0.0e+00	1290.44030761719	37.35	11	1377	4	1369	2	1369	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1RFJ4_9LACO	A0A0R1RFJ4_9LACO	1336	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1267.1	45.5	1	1	0.0e+00	0.0e+00	1266.89404296875	45.46	31	1377	4	1336	1	1336	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R2AFH9_9LACO	A0A0R2AFH9_9LACO	1324	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1257.4	47.9	1	1	0.0e+00	0.0e+00	1257.23083496094	47.88	35	1377	1	1324	1	1324	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1S4R8_9LACO	A0A0R1S4R8_9LACO	1390	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1235.7	46.8	1	1	0.0e+00	0.0e+00	1235.20568847656	46.79	11	1377	6	1390	2	1390	0.92	CRISPR-associated endonuclease Cas9		0
A0A2S2JKP0_9LACO	A0A2S2JKP0_9LACO	1458	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1221.4	70.1	1	2	8.7e-77	8.5e-72	254.140914916992	13.81	11	397	3	391	1	399	0.92	CRISPR-associated endonuclease Cas9		0
A0A2S2JKP0_9LACO	A0A2S2JKP0_9LACO	1458	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1221.4	70.1	2	2	6.8e-294	6.6e-289	973.415710449219	48.23	371	1377	466	1458	405	1458	0.93	CRISPR-associated endonuclease Cas9		0
A0A1I1T9Q3_9LACO	A0A1I1T9Q3_9LACO	1396	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1205.1	46.6	1	1	0.0e+00	0.0e+00	1204.35046386719	46.56	12	1377	8	1396	5	1396	0.91	CRISPR-associated endonuclease Cas9		0
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1172.5	56.9	1	1	0.0e+00	0.0e+00	1171.982421875	56.88	11	1376	5	1330	2	1331	0.95	CRISPR-associated endonuclease Cas9		0
A0A089Y508_9LACO	A0A089Y508_9LACO	1400	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1170.5	48.6	1	1	0.0e+00	0.0e+00	1170.216796875	48.60	11	1377	7	1400	4	1400	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1145.6	59.2	1	1	0.0e+00	0.0e+00	1143.44592285156	59.18	10	1377	6	1341	2	1341	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2DR00_9LACO	A0A0R2DR00_9LACO	1345	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1143.8	24.6	1	1	0.0e+00	0.0e+00	1143.46496582031	24.60	11	1377	4	1345	2	1345	0.94	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1124.4	38.0	1	1	0.0e+00	0.0e+00	1124.04162597656	38.05	8	1377	4	1327	2	1327	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1RHH9_9LACO	A0A0R1RHH9_9LACO	1378	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1115.0	29.4	1	1	0.0e+00	0.0e+00	1114.67895507812	29.35	11	1377	15	1378	8	1378	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2DLB6_9LACO	A0A0R2DLB6_9LACO	1402	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1105.3	56.0	1	2	8.3e-68	8.2e-63	224.378463745117	9.96	11	376	5	361	3	399	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2DLB6_9LACO	A0A0R2DLB6_9LACO	1402	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1105.3	56.0	2	2	1.0e-267	9.8e-263	886.714599609375	38.62	381	1370	411	1395	374	1402	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1MNC7_9LACO	A0A0R1MNC7_9LACO	1351	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1094.7	20.4	1	1	0.0e+00	0.0e+00	1094.41186523438	20.41	11	1377	4	1351	2	1351	0.92	CRISPR-associated endonuclease Cas9		0
Q1WVK1_LACS1	Q1WVK1_LACS1	1149	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	0.0e+00	1090.0	56.7	1	1	0.0e+00	0.0e+00	1089.75598144531	56.67	11	1155	3	1130	1	1142	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1K630_9LACO	A0A0R1K630_9LACO	1376	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	1.4e-308	1038.6	20.9	1	1	5.5e-313	5.4e-308	1036.6611328125	20.86	11	1377	4	1376	1	1376	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R2N0I6_9LACO	A0A0R2N0I6_9LACO	1346	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	2.0e-283	955.2	23.7	1	1	2.5e-288	2.5e-283	954.959655761719	23.72	12	1377	5	1346	2	1346	0.91	CRISPR-associated endonuclease Cas9		0
A0A0F4LLE0_9LACO	A0A0F4LLE0_9LACO	1391	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	4.4e-281	947.5	41.7	1	1	5.7e-286	5.6e-281	947.144714355469	41.67	11	1377	7	1389	3	1389	0.89	CRISPR-associated endonuclease Cas9		0
A0A0R2DIR3_9LACO	A0A0R2DIR3_9LACO	1346	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	5.3e-274	924.1	47.9	1	1	6.5e-279	6.4e-274	923.774963378906	47.85	11	1370	6	1341	2	1346	0.89	CRISPR-associated endonuclease Cas9		0
A0A0C1M7A0_9LACO	A0A0C1M7A0_9LACO	942	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	3.9e-240	811.8	36.1	1	1	4.6e-245	4.6e-240	811.616577148438	36.15	411	1377	1	942	1	942	0.93	CRISPR-associated protein, SAG0894 family		0
A0A0R2HIR8_9LACT	A0A0R2HIR8_9LACT	1333	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	1.3e-215	730.6	43.4	1	1	3.6e-219	3.6e-214	725.831481933594	43.41	9	1377	10	1332	6	1332	0.85	CRISPR-associated endonuclease Cas9		0
A0A0J5P9G6_9LACT	A0A0J5P9G6_9LACT	1319	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	2.5e-211	716.4	36.4	1	1	1.9e-215	1.8e-210	713.53125	36.45	12	1377	3	1318	1	1318	0.86	CRISPR-associated endonuclease Cas9		0
X0QNI0_9LACO	X0QNI0_9LACO	1366	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	1.6e-209	710.4	24.7	1	1	1.2e-213	1.2e-208	707.550964355469	24.69	11	1372	4	1355	2	1360	0.82	CRISPR-associated endonuclease Cas9		0
A0A0R2FVI8_9LACT	A0A0R2FVI8_9LACT	1309	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	3.7e-206	699.3	27.8	1	1	7.6e-210	7.4e-205	694.962768554688	27.76	21	1377	2	1308	1	1308	0.86	CRISPR-associated endonuclease Cas9		0
J9YH95_LEUGJ	J9YH95_LEUGJ	1355	>tr|C2D302|C2D302_LACBR CRISPR-associated endonuclease Cas9 OS=Lactobacillus brevis subsp. gravesensis ATCC 27305 OX=525310 GN=cas9 PE=3 SV=1	-	1377	2.2e-201	683.5	40.2	1	1	9.9e-205	9.7e-200	678.003967285156	40.16	11	1370	2	1349	1	1353	0.82	CRISPR-associated endonuclease Cas9		0
