Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	2999.2	77.5	1	1	0.0e+00	0.0e+00	2999.08203125	77.48	1	1341	1	1341	1	1341	1.00	CRISPR-associated endonuclease Cas9		0
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	2332.6	72.8	1	1	0.0e+00	0.0e+00	2332.43579101562	72.80	7	1340	5	1330	1	1331	0.98	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1695.1	42.4	1	1	0.0e+00	0.0e+00	1694.89477539062	42.43	1	1341	1	1327	1	1327	0.97	CRISPR-associated endonuclease Cas9		0
A0A0C1M7A0_9LACO	A0A0C1M7A0_9LACO	942	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1256.0	42.8	1	1	0.0e+00	0.0e+00	1255.8564453125	42.78	410	1341	1	942	1	942	0.95	CRISPR-associated protein, SAG0894 family		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1235.4	35.4	1	1	0.0e+00	0.0e+00	1234.9140625	35.44	8	1341	5	1364	2	1364	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1226.6	53.5	1	1	0.0e+00	0.0e+00	1224.87023925781	53.52	7	1339	5	1375	1	1377	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1216.6	36.2	1	1	0.0e+00	0.0e+00	1216.16247558594	36.17	7	1341	4	1368	2	1368	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1201.4	38.3	1	1	0.0e+00	0.0e+00	1200.86389160156	38.30	7	1341	4	1369	2	1369	0.89	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1196.9	42.0	1	1	0.0e+00	0.0e+00	1196.54479980469	41.97	7	1297	4	1324	1	1330	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0R2JSC5|A0A0R2JSC5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus lindneri DSM 20690 = JCM 11027 OX=1122148 GN=cas9 PE=3 SV=1	-	1341	0.0e+00	1196.7	43.4	1	1	0.0e+00	0.0e+00	1195.77600097656	43.40	8	1341	5	1363	3	1363	0.91	CRISPR-associated endonuclease Cas9		0
