Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	3093.3	42.9	1	1	0.0e+00	0.0e+00	3093.14697265625	42.94	1	1370	1	1370	1	1370	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1626.9	31.5	1	1	0.0e+00	0.0e+00	1626.75402832031	31.53	4	1366	3	1364	1	1364	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1RFJ4_9LACO	A0A0R1RFJ4_9LACO	1336	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1626.8	45.4	1	1	0.0e+00	0.0e+00	1626.60998535156	45.39	22	1366	1	1336	1	1336	0.98	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1576.8	43.4	1	1	0.0e+00	0.0e+00	1576.64184570312	43.37	1	1363	1	1374	1	1378	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1530.6	33.0	1	1	0.0e+00	0.0e+00	1530.42932128906	33.02	4	1366	3	1369	1	1369	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1523.0	32.8	1	1	0.0e+00	0.0e+00	1522.84350585938	32.75	3	1366	2	1368	1	1368	0.97	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1399.4	38.6	1	1	0.0e+00	0.0e+00	1399.1484375	38.60	4	1325	3	1326	1	1329	0.94	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1393.9	37.3	1	1	0.0e+00	0.0e+00	1393.74267578125	37.30	1	1366	1	1371	1	1371	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1385.4	35.3	1	1	0.0e+00	0.0e+00	1385.21215820312	35.26	4	1366	3	1363	1	1363	0.95	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1328.5	42.5	1	1	0.0e+00	0.0e+00	1328.26257324219	42.54	5	1366	11	1377	8	1377	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1323.9	39.8	1	1	0.0e+00	0.0e+00	1323.70812988281	39.77	4	1366	3	1366	1	1366	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1248.9	42.4	1	1	0.0e+00	0.0e+00	1248.55053710938	42.36	1	1360	1	1353	1	1363	0.93	CRISPR-associated endonuclease Cas9		0
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1231.8	39.1	1	1	0.0e+00	0.0e+00	1231.62341308594	39.12	3	1366	3	1364	1	1364	0.94	CRISPR-associated endonuclease Cas9		0
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1198.3	57.3	1	1	0.0e+00	0.0e+00	1196.63391113281	57.26	1	1365	1	1330	1	1331	0.93	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1197.7	41.0	1	2	2.8e-42	2.6e-37	139.608123779297	0.12	4	136	9	143	6	152	0.94	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1197.7	41.0	2	2	2.3e-320	2.2e-315	1060.91003417969	36.71	124	1366	151	1396	142	1396	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2DR00_9LACO	A0A0R2DR00_9LACO	1345	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1194.4	22.0	1	1	0.0e+00	0.0e+00	1194.18603515625	22.01	5	1366	4	1345	1	1345	0.94	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1187.6	35.0	1	1	0.0e+00	0.0e+00	1187.29711914062	34.98	3	1365	5	1326	3	1327	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1184.2	57.2	1	1	0.0e+00	0.0e+00	1183.86889648438	57.25	5	1366	7	1341	3	1341	0.93	CRISPR-associated endonuclease Cas9		0
I7L6U4_9LACO	I7L6U4_9LACO	1386	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1142.6	58.4	1	1	0.0e+00	0.0e+00	1142.1904296875	58.37	5	1366	7	1386	3	1386	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R1MNC7_9LACO	A0A0R1MNC7_9LACO	1351	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1135.9	14.6	1	1	0.0e+00	0.0e+00	1135.74194335938	14.55	4	1366	3	1351	1	1351	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R2AFH9_9LACO	A0A0R2AFH9_9LACO	1324	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1110.5	45.9	1	1	0.0e+00	0.0e+00	1110.34460449219	45.90	29	1365	1	1323	1	1324	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R1RHH9_9LACO	A0A0R1RHH9_9LACO	1378	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1090.5	29.3	1	1	0.0e+00	0.0e+00	1090.08581542969	29.25	2	1364	12	1376	11	1378	0.90	CRISPR-associated endonuclease Cas9		0
A0A1I1T9Q3_9LACO	A0A1I1T9Q3_9LACO	1396	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	0.0e+00	1074.5	45.6	1	1	0.0e+00	0.0e+00	1073.38586425781	45.56	5	1365	7	1395	2	1396	0.89	CRISPR-associated endonuclease Cas9		0
A0A0R1K630_9LACO	A0A0R1K630_9LACO	1376	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	2.4e-316	1064.2	12.8	1	1	2.1e-320	1.9e-315	1061.02697753906	12.80	4	1366	3	1376	1	1376	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R1S4R8_9LACO	A0A0R1S4R8_9LACO	1390	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	8.8e-315	1058.9	44.6	1	1	1.3e-319	1.3e-314	1058.34020996094	44.59	4	1365	5	1389	1	1390	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1SG79_9LACO	A0A0R1SG79_9LACO	1376	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	7.4e-311	1045.9	22.7	1	1	9.1e-316	8.6e-311	1045.63977050781	22.71	6	1366	19	1376	14	1376	0.94	CRISPR-associated endonuclease Cas9		0
A0A2S2JKP0_9LACO	A0A2S2JKP0_9LACO	1458	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	1.6e-304	1024.9	63.0	1	2	2.7e-64	2.5e-59	212.564605712891	9.00	4	366	2	368	1	396	0.89	CRISPR-associated endonuclease Cas9		0
A0A2S2JKP0_9LACO	A0A2S2JKP0_9LACO	1458	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	1.6e-304	1024.9	63.0	2	2	3.6e-247	3.4e-242	818.395202636719	46.01	390	1366	502	1458	491	1458	0.93	CRISPR-associated endonuclease Cas9		0
A0A089Y508_9LACO	A0A089Y508_9LACO	1400	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	5.7e-304	1023.1	46.1	1	1	7.6e-309	7.2e-304	1022.71185302734	46.10	5	1364	7	1398	3	1400	0.88	CRISPR-associated endonuclease Cas9		0
Q1WVK1_LACS1	Q1WVK1_LACS1	1149	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	1.8e-298	1004.8	56.9	1	1	2.3e-303	2.2e-298	1004.53472900391	56.86	5	1151	3	1129	1	1143	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2N0I6_9LACO	A0A0R2N0I6_9LACO	1346	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	6.7e-298	1002.9	20.2	1	1	8.0e-303	7.5e-298	1002.77185058594	20.18	5	1366	4	1346	1	1346	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R2DLB6_9LACO	A0A0R2DLB6_9LACO	1402	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	5.0e-288	970.2	54.0	1	2	4.5e-65	4.2e-60	215.122970581055	7.46	2	373	2	366	1	385	0.89	CRISPR-associated endonuclease Cas9		0
A0A0R2DLB6_9LACO	A0A0R2DLB6_9LACO	1402	>tr|A0A0D0YUU5|A0A0D0YUU5_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus wasatchensis OX=1335616 GN=cas3 PE=3 SV=1	-	1370	5.0e-288	970.2	54.0	2	2	7.4e-230	7.0e-225	761.037719726562	38.76	377	1363	425	1399	373	1402	0.89	CRISPR-associated endonuclease Cas9		0
