Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0H4LAX2_9LACO	A0A0H4LAX2_9LACO	1356	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	0.0e+00	3037.5	83.4	1	1	0.0e+00	0.0e+00	3037.3115234375	83.39	1	1356	1	1356	1	1356	1.00	CRISPR-associated endonuclease Cas9		0
A0A1P8Q111_9LACO	A0A1P8Q111_9LACO	1365	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	0.0e+00	1406.4	74.7	1	1	0.0e+00	0.0e+00	1405.74792480469	74.74	1	1356	1	1365	1	1365	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1KBL5_9LACO	A0A0R1KBL5_9LACO	899	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	2.2e-276	931.6	40.5	1	1	2.0e-281	2.7e-276	931.333618164062	40.53	1	829	1	823	1	845	0.97	CRISPR associated protein		0
R7I2K1_9CLOT	R7I2K1_9CLOT	1381	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	2.3e-224	759.3	53.6	1	1	2.1e-229	2.8e-224	759.029541015625	53.65	2	1351	5	1377	4	1381	0.82	CRISPR-associated endonuclease Cas9		0
A0A0R2HM97_9FIRM	A0A0R2HM97_9FIRM	1344	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	3.0e-208	705.9	70.5	1	1	2.7e-213	3.5e-208	705.678771972656	70.50	6	1352	7	1341	2	1344	0.85	CRISPR-associated endonuclease Cas9		0
R7GMQ9_9FIRM	R7GMQ9_9FIRM	1333	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	7.2e-204	691.4	52.9	1	1	6.1e-209	8.1e-204	691.236328125	52.92	7	1352	7	1330	1	1333	0.86	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	9.4e-203	687.7	39.4	1	1	8.3e-208	1.1e-202	687.485900878906	39.43	6	1354	3	1362	1	1364	0.83	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	1.1e-200	680.8	40.4	1	1	1.3e-205	1.8e-200	680.169311523438	40.37	1	1355	1	1324	1	1325	0.84	CRISPR-associated endonuclease Cas9		0
A0A1I0EHL5_9FIRM	A0A1I0EHL5_9FIRM	1319	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	3.1e-200	679.3	86.8	1	1	2.7e-205	3.6e-200	679.169982910156	86.81	2	1353	2	1317	1	1319	0.86	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	3.5e-198	672.6	29.7	1	2	3.1e-200	4.2e-195	662.379699707031	27.62	6	1155	3	1135	1	1156	0.86	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	3.5e-198	672.6	29.7	2	2	0.0019	260	10.4464569091797	0.02	1291	1354	1296	1360	1169	1362	0.70	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	1.9e-194	660.2	46.6	1	1	2.2e-199	2.9e-194	659.577392578125	46.55	6	1354	10	1373	6	1375	0.83	CRISPR-associated endonuclease Cas9		0
X0QNI0_9LACO	X0QNI0_9LACO	1366	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	7.2e-192	651.7	21.5	1	1	6.3e-197	8.4e-192	651.434204101562	21.45	6	1351	3	1353	1	1358	0.84	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	1.9e-191	650.3	34.7	1	1	1.8e-196	2.4e-191	649.898193359375	34.73	8	1355	5	1360	2	1361	0.80	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	3.0e-191	649.6	47.7	1	1	3.4e-196	4.6e-191	648.999755859375	47.70	4	1355	2	1374	1	1375	0.81	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|A0A0H4LAX2|A0A0H4LAX2_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus farciminis OX=1612 GN=cas9 PE=3 SV=1	-	1356	2.0e-190	646.9	47.5	1	1	1.7e-195	2.3e-190	646.675720214844	47.45	6	1355	4	1356	1	1357	0.83	CRISPR-associated endonuclease Cas9		0
