Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A133YDF1_9FIRM	A0A133YDF1_9FIRM	1402	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	0.0e+00	3131.7	77.2	1	1	0.0e+00	0.0e+00	3131.58056640625	77.15	1	1402	1	1402	1	1402	1.00	CRISPR-associated endonuclease Cas9		0
A0A2A4DVN9_ENTHR	A0A2A4DVN9_ENTHR	1336	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	2.7e-251	848.3	39.9	1	2	3.6e-72	4.0e-67	238.136367797852	7.37	4	358	3	341	1	354	0.85	CRISPR-associated endonuclease Cas9		0
A0A2A4DVN9_ENTHR	A0A2A4DVN9_ENTHR	1336	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	2.7e-251	848.3	39.9	2	2	2.7e-185	3.0e-180	612.944030761719	24.56	440	1399	388	1327	361	1330	0.87	CRISPR-associated endonuclease Cas9		0
I6T669_ENTHA	I6T669_ENTHA	1336	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	3.0e-251	848.2	40.8	1	2	4.1e-72	4.5e-67	237.973114013672	8.07	4	358	3	341	1	354	0.85	CRISPR-associated endonuclease Cas9		0
I6T669_ENTHA	I6T669_ENTHA	1336	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	3.0e-251	848.2	40.8	2	2	2.6e-185	2.9e-180	612.97265625	24.71	440	1399	388	1327	361	1330	0.87	CRISPR-associated endonuclease Cas9		0
A0A095XEU7_9FIRM	A0A095XEU7_9FIRM	1335	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	1.0e-249	843.1	67.6	1	2	1.8e-72	2.0e-67	239.126678466797	18.20	4	368	2	359	1	364	0.83	CRISPR-associated endonuclease Cas9		0
A0A095XEU7_9FIRM	A0A095XEU7_9FIRM	1335	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	1.0e-249	843.1	67.6	2	2	4.2e-184	4.6e-179	608.991516113281	41.43	441	1399	397	1333	393	1335	0.87	CRISPR-associated endonuclease Cas9		0
E6LI02_9ENTE	E6LI02_9ENTE	1330	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	2.6e-248	838.4	52.1	1	2	1.4e-63	1.5e-58	209.704650878906	8.26	3	358	2	345	1	357	0.88	CRISPR-associated endonuclease Cas9		0
E6LI02_9ENTE	E6LI02_9ENTE	1330	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	2.6e-248	838.4	52.1	2	2	2.4e-191	2.7e-186	632.961791992188	35.85	441	1399	393	1326	383	1329	0.87	CRISPR-associated endonuclease Cas9		0
R3WHR8_9ENTE	R3WHR8_9ENTE	1334	>tr|A0A133YDF1|A0A133YDF1_9FIRM CRISPR-associated endonuclease Cas9 OS=Clostridiales bacterium KA00274 OX=1497955 GN=cas9 PE=3 SV=1	-	1402	4.7e-244	824.3	39.2	1	2	4.1e-63	4.5e-58	208.161590576172	3.23	3	356	2	342	1	349	0.87	CRISPR-associated endonuclease Cas9		0
