Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
R9MHT9_9FIRM	R9MHT9_9FIRM	1338	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	3074.1	25.8	1	1	0.0e+00	0.0e+00	3073.90014648438	25.81	1	1338	1	1338	1	1338	1.00	CRISPR-associated endonuclease Cas9		0
D4J3S7_9FIRM	D4J3S7_9FIRM	1338	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	2049.9	28.3	1	1	0.0e+00	0.0e+00	2049.66186523438	28.30	2	1337	3	1337	2	1338	0.99	CRISPR-associated endonuclease Cas9		0
B5CL59_9FIRM	B5CL59_9FIRM	1341	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	2001.4	34.0	1	1	0.0e+00	0.0e+00	2001.22387695312	33.99	3	1337	4	1340	2	1341	0.99	CRISPR-associated endonuclease Cas9		0
R6ZAM8_9CLOT	R6ZAM8_9CLOT	1340	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1788.9	26.3	1	1	0.0e+00	0.0e+00	1788.65356445312	26.32	2	1337	3	1339	2	1340	0.99	CRISPR-associated endonuclease Cas9		0
R5RU71_9CLOT	R5RU71_9CLOT	1349	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1563.3	35.5	1	1	0.0e+00	0.0e+00	1563.05969238281	35.49	3	1338	4	1349	2	1349	0.96	CRISPR-associated endonuclease Cas9		0
R5SXF4_9CLOT	R5SXF4_9CLOT	1356	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1515.3	31.6	1	1	0.0e+00	0.0e+00	1515.10510253906	31.62	2	1338	5	1356	4	1356	0.96	CRISPR-associated endonuclease Cas9		0
S1NSG8_9ENTE	S1NSG8_9ENTE	1350	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1356.3	31.2	1	1	0.0e+00	0.0e+00	1356.11840820312	31.17	1	1336	1	1348	1	1350	0.95	CRISPR-associated endonuclease Cas9		0
A0A1G9IV55_9CLOT	A0A1G9IV55_9CLOT	1371	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1220.7	23.4	1	1	0.0e+00	0.0e+00	1220.50109863281	23.39	3	1337	25	1366	23	1367	0.93	CRISPR-associated endonuclease Cas9		0
A0A1G5VTW4_9FIRM	A0A1G5VTW4_9FIRM	1359	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1182.9	26.5	1	1	0.0e+00	0.0e+00	1182.6826171875	26.46	2	1335	7	1353	6	1356	0.92	CRISPR-associated endonuclease Cas9		0
R6U7U5_9CLOT	R6U7U5_9CLOT	1323	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1144.9	29.7	1	1	0.0e+00	0.0e+00	1144.72143554688	29.74	1	1337	1	1322	1	1323	0.93	CRISPR-associated endonuclease Cas9		0
R6P3Z6_9FIRM	R6P3Z6_9FIRM	1356	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1122.4	29.2	1	1	0.0e+00	0.0e+00	1122.2294921875	29.24	3	1338	5	1356	3	1356	0.92	CRISPR-associated endonuclease Cas9		0
A0A1Y3X8W7_9FIRM	A0A1Y3X8W7_9FIRM	1346	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1114.3	18.5	1	1	0.0e+00	0.0e+00	1105.48291015625	18.55	3	1335	5	1340	3	1342	0.90	CRISPR-associated endonuclease Cas9		0
A0A1Y4MDC8_9FIRM	A0A1Y4MDC8_9FIRM	1344	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1111.7	16.9	1	2	2.8e-251	2.5e-246	831.989135742188	11.49	3	968	4	958	2	964	0.91	CRISPR-associated endonuclease Cas9		0
A0A1Y4MDC8_9FIRM	A0A1Y4MDC8_9FIRM	1344	>tr|R9MHT9|R9MHT9_9FIRM CRISPR-associated endonuclease Cas9 OS=Lachnospiraceae bacterium 3-2 OX=1235799 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1111.7	16.9	2	2	1.2e-85	1.1e-80	283.238128662109	0.21	961	1337	974	1343	959	1344	0.91	CRISPR-associated endonuclease Cas9		0
