Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
X0QNI0_9LACO	X0QNI0_9LACO	1366	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	0.0e+00	3097.4	21.2	1	1	0.0e+00	0.0e+00	3097.27880859375	21.22	1	1366	1	1366	1	1366	1.00	CRISPR-associated endonuclease Cas9		0
G9WGU4_9LACT	G9WGU4_9LACT	1389	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	0.0e+00	1377.0	29.6	1	1	0.0e+00	0.0e+00	1376.7255859375	29.61	1	1360	1	1384	1	1388	0.92	CRISPR-associated endonuclease Cas9		0
J9YH95_LEUGJ	J9YH95_LEUGJ	1355	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	0.0e+00	1184.7	32.4	1	1	0.0e+00	0.0e+00	1183.23767089844	32.38	5	1355	3	1351	1	1355	0.91	CRISPR-associated endonuclease Cas9		0
A0A261F7M3_9BIFI	A0A261F7M3_9BIFI	1399	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	0.0e+00	1103.7	17.2	1	1	0.0e+00	0.0e+00	1103.3232421875	17.17	4	1360	11	1392	9	1395	0.90	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	0.0e+00	1080.5	24.8	1	2	2.2e-93	2.9e-88	308.116424560547	1.35	4	360	14	378	12	383	0.91	CRISPR-associated endonuclease Cas9		0
J0DFD8_9BIFI	J0DFD8_9BIFI	1471	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	0.0e+00	1080.5	24.8	2	2	9.1e-233	1.2e-227	769.865600585938	16.19	365	1361	410	1464	401	1468	0.87	CRISPR-associated endonuclease Cas9		0
A0A0R2FVI8_9LACT	A0A0R2FVI8_9LACT	1309	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.7e-301	1014.5	23.9	1	1	1.5e-306	2.1e-301	1014.25177001953	23.89	14	1353	2	1301	1	1308	0.92	CRISPR-associated endonuclease Cas9		0
A0A0J5P9G6_9LACT	A0A0J5P9G6_9LACT	1319	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	9.3e-277	932.6	28.4	1	1	8.3e-282	1.1e-276	932.312194824219	28.42	5	1356	3	1314	1	1318	0.90	CRISPR-associated endonuclease Cas9		0
A0A0R2HIR8_9LACT	A0A0R2HIR8_9LACT	1333	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.0e-276	932.5	33.2	1	1	1.8e-281	2.4e-276	931.239562988281	33.18	5	1352	13	1324	10	1332	0.88	CRISPR-associated endonuclease Cas9		0
A0A0R2JE56_9LACT	A0A0R2JE56_9LACT	1370	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.9e-265	895.1	26.5	1	1	2.2e-270	3.0e-265	894.453063964844	26.50	2	1219	4	1234	3	1365	0.84	CRISPR-associated endonuclease Cas9		0
A0A062XN29_LEUPS	A0A062XN29_LEUPS	883	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.8e-246	832.3	21.6	1	1	1.6e-251	2.2e-246	831.95458984375	21.60	36	884	2	870	1	878	0.92	CRISPR-associated protein, SAG0894 family		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.8e-218	739.5	30.9	1	1	4.6e-222	6.2e-217	734.386901855469	30.94	2	1354	3	1371	2	1377	0.82	CRISPR-associated endonuclease Cas9		0
A0A261F7P4_9BIFI	A0A261F7P4_9BIFI	1500	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	6.1e-218	737.7	20.8	1	2	6.7e-61	9.0e-56	200.489837646484	1.38	4	336	21	367	18	449	0.81	CRISPR-associated endonuclease Cas9		0
A0A261F7P4_9BIFI	A0A261F7P4_9BIFI	1500	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	6.1e-218	737.7	20.8	2	2	3.7e-164	4.9e-159	542.581909179688	12.10	393	1360	463	1488	448	1492	0.81	CRISPR-associated endonuclease Cas9		0
A0A1P8Q111_9LACO	A0A1P8Q111_9LACO	1365	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.1e-217	736.9	36.8	1	1	9.8e-223	1.3e-217	736.622375488281	36.77	2	1357	5	1364	4	1365	0.87	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	5.9e-216	731.2	25.8	1	1	6.0e-221	8.1e-216	730.705261230469	25.83	1	1359	1	1363	1	1364	0.82	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	5.6e-215	727.9	30.8	1	1	5.4e-220	7.2e-215	727.554504394531	30.84	3	1357	4	1356	2	1361	0.82	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.1e-214	727.0	28.2	1	1	1.0e-219	1.4e-214	726.598327636719	28.20	1	1352	1	1358	1	1365	0.83	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	3.0e-210	712.2	30.1	1	1	1.7e-214	2.3e-209	709.290710449219	30.12	3	1356	6	1323	4	1327	0.83	CRISPR-associated endonuclease Cas9		0
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	4.6e-208	705.0	28.8	1	1	2.3e-212	3.1e-207	702.271728515625	28.76	3	1355	4	1359	2	1364	0.79	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	7.5e-208	704.3	32.6	1	1	3.6e-212	4.8e-207	701.632934570312	32.65	4	1355	11	1372	9	1377	0.82	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.3e-206	700.2	28.7	1	1	2.0e-211	2.6e-206	699.186950683594	28.68	1	1358	1	1366	1	1368	0.83	CRISPR-associated endonuclease Cas9		0
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.6e-205	696.6	39.8	1	1	1.8e-209	2.4e-204	692.719055175781	39.85	4	1360	5	1331	1	1331	0.85	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.6e-204	693.3	29.2	1	1	3.4e-209	4.6e-204	691.768432617188	29.16	1	1359	1	1368	1	1369	0.80	CRISPR-associated endonuclease Cas9		0
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.0e-197	669.8	38.5	1	1	1.8e-201	2.4e-196	666.187683105469	38.46	4	1357	7	1338	4	1341	0.83	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.3e-196	666.3	34.1	1	1	7.2e-200	9.7e-195	660.870910644531	34.14	4	1358	10	1394	8	1396	0.80	CRISPR-associated endonuclease Cas9		0
A0A1I1T9Q3_9LACO	A0A1I1T9Q3_9LACO	1396	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.4e-196	666.2	33.8	1	1	3.8e-201	5.2e-196	665.093688964844	33.84	3	1355	6	1391	4	1396	0.83	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.7e-196	666.0	27.7	1	1	3.5e-201	4.7e-196	665.215393066406	27.73	3	1359	4	1370	2	1371	0.83	CRISPR-associated endonuclease Cas9		0
I7L6U4_9LACO	I7L6U4_9LACO	1386	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	1.0e-194	660.8	39.1	1	1	1.0e-199	1.4e-194	660.388366699219	39.11	2	1358	5	1384	4	1386	0.82	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.6e-194	659.5	29.1	1	1	3.6e-198	4.9e-193	655.237060546875	29.12	3	1357	4	1363	2	1369	0.78	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	5.4e-194	658.4	28.4	1	1	2.2e-198	2.9e-193	655.976135253906	28.45	3	1359	3	1362	1	1363	0.81	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	7.2e-194	658.0	29.4	1	1	9.5e-199	1.3e-193	657.15576171875	29.36	1	1319	1	1326	1	1329	0.80	CRISPR-associated endonuclease Cas9		0
A0A089Y508_9LACO	A0A089Y508_9LACO	1400	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	7.2e-191	648.1	33.1	1	1	8.3e-196	1.1e-190	647.4189453125	33.10	2	1353	5	1393	4	1399	0.81	CRISPR-associated endonuclease Cas9		0
A0A0H4LAX2_9LACO	A0A0H4LAX2_9LACO	1356	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	6.5e-189	641.6	35.8	1	1	6.3e-194	8.4e-189	641.195617675781	35.78	4	1353	7	1351	2	1356	0.84	CRISPR-associated endonuclease Cas9		0
A0A0R1S4R8_9LACO	A0A0R1S4R8_9LACO	1390	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.1e-188	639.9	30.2	1	1	2.0e-193	2.7e-188	639.521362304688	30.15	2	1359	4	1389	3	1390	0.82	CRISPR-associated endonuclease Cas9		0
Q1WVK1_LACS1	Q1WVK1_LACS1	1149	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	8.9e-188	637.8	38.6	1	1	9.4e-193	1.3e-187	637.298034667969	38.56	4	1171	3	1144	1	1147	0.86	CRISPR-associated endonuclease Cas9		0
A0A0R1MNC7_9LACO	A0A0R1MNC7_9LACO	1351	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	2.1e-185	629.9	18.3	1	1	1.8e-189	2.4e-184	626.443725585938	18.35	1	1353	1	1344	1	1351	0.79	CRISPR-associated endonuclease Cas9		0
A0A0R2DIR3_9LACO	A0A0R2DIR3_9LACO	1346	>tr|X0QNI0|X0QNI0_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus composti DSM 18527 = JCM 14202 OX=1423734 GN=cas9 PE=3 SV=1	-	1366	5.1e-184	625.3	33.3	1	1	4.9e-188	6.6e-183	621.664489746094	33.35	2	1354	4	1342	3	1346	0.81	CRISPR-associated endonuclease Cas9		0
