Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
R6ZAM8_9CLOT	R6ZAM8_9CLOT	1340	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	3056.0	31.4	1	1	0.0e+00	0.0e+00	3055.79296875	31.45	1	1340	1	1340	1	1340	1.00	CRISPR-associated endonuclease Cas9		0
B5CL59_9FIRM	B5CL59_9FIRM	1341	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1824.4	37.7	1	1	0.0e+00	0.0e+00	1824.20373535156	37.71	4	1337	4	1338	1	1341	0.99	CRISPR-associated endonuclease Cas9		0
D4J3S7_9FIRM	D4J3S7_9FIRM	1338	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1802.2	32.0	1	1	0.0e+00	0.0e+00	1802.07312011719	32.03	1	1338	1	1336	1	1338	0.99	CRISPR-associated endonuclease Cas9		0
R9MHT9_9FIRM	R9MHT9_9FIRM	1338	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1790.5	23.0	1	1	0.0e+00	0.0e+00	1790.30334472656	23.03	3	1339	2	1337	1	1338	0.99	CRISPR-associated endonuclease Cas9		0
R5RU71_9CLOT	R5RU71_9CLOT	1349	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1558.5	39.1	1	1	0.0e+00	0.0e+00	1558.36584472656	39.09	1	1339	1	1348	1	1349	0.97	CRISPR-associated endonuclease Cas9		0
R5SXF4_9CLOT	R5SXF4_9CLOT	1356	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1501.2	35.0	1	1	0.0e+00	0.0e+00	1500.93957519531	35.04	4	1340	6	1356	3	1356	0.96	CRISPR-associated endonuclease Cas9		0
S1NSG8_9ENTE	S1NSG8_9ENTE	1350	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1265.9	37.4	1	1	0.0e+00	0.0e+00	1265.69311523438	37.41	4	1339	3	1349	1	1350	0.95	CRISPR-associated endonuclease Cas9		0
A0A1G5VTW4_9FIRM	A0A1G5VTW4_9FIRM	1359	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1211.4	28.6	1	1	0.0e+00	0.0e+00	1211.00805664062	28.56	3	1337	7	1353	5	1355	0.93	CRISPR-associated endonuclease Cas9		0
A0A1G9IV55_9CLOT	A0A1G9IV55_9CLOT	1371	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1185.6	26.0	1	1	0.0e+00	0.0e+00	1185.26806640625	25.96	4	1337	25	1364	22	1367	0.92	CRISPR-associated endonuclease Cas9		0
A0A1Y3X8W7_9FIRM	A0A1Y3X8W7_9FIRM	1346	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1171.0	19.0	1	2	6.7e-260	3.5e-255	861.160278320312	12.87	2	977	3	962	1	973	0.91	CRISPR-associated endonuclease Cas9		0
A0A1Y3X8W7_9FIRM	A0A1Y3X8W7_9FIRM	1346	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1171.0	19.0	2	2	9.3e-95	4.9e-90	314.073944091797	0.39	968	1339	976	1342	964	1343	0.94	CRISPR-associated endonuclease Cas9		0
R6P3Z6_9FIRM	R6P3Z6_9FIRM	1356	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1125.7	35.9	1	1	0.0e+00	0.0e+00	1125.47094726562	35.95	4	1338	5	1354	2	1356	0.92	CRISPR-associated endonuclease Cas9		0
R6U7U5_9CLOT	R6U7U5_9CLOT	1323	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1095.3	32.8	1	1	0.0e+00	0.0e+00	1095.10510253906	32.84	4	1338	3	1321	1	1323	0.93	CRISPR-associated endonuclease Cas9		0
A0A1Y4MDC8_9FIRM	A0A1Y4MDC8_9FIRM	1344	>tr|R6ZAM8|R6ZAM8_9CLOT CRISPR-associated endonuclease Cas9 OS=Clostridium sp. CAG:299 OX=1262792 GN=cas9 PE=3 SV=1	-	1340	0.0e+00	1087.7	14.8	1	2	7.9e-237	4.2e-232	784.728820800781	9.73	1	973	1	961	1	970	0.91	CRISPR-associated endonuclease Cas9		0
