Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	3238.6	20.7	1	1	0.0e+00	0.0e+00	3238.4189453125	20.72	1	1399	1	1399	1	1399	1.00	CRISPR-associated endonuclease Cas9		0
U2VD49_9ACTN	U2VD49_9ACTN	1395	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	2504.4	18.6	1	1	0.0e+00	0.0e+00	2504.21508789062	18.55	1	1399	1	1395	1	1395	0.98	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1900.8	18.7	1	1	0.0e+00	0.0e+00	1900.53955078125	18.71	2	1399	3	1396	2	1396	0.97	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1858.5	13.9	1	1	0.0e+00	0.0e+00	1858.29040527344	13.92	1	1399	1	1384	1	1384	0.97	CRISPR-associated endonuclease Cas9		0
R7D1C6_9ACTN	R7D1C6_9ACTN	1391	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1623.4	10.6	1	1	0.0e+00	0.0e+00	1623.22668457031	10.62	1	1399	1	1391	1	1391	0.95	CRISPR-associated endonuclease Cas9		0
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1533.4	14.4	1	1	0.0e+00	0.0e+00	1533.25732421875	14.42	1	1398	1	1379	1	1380	0.96	CRISPR-associated endonuclease Cas9		0
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1446.7	13.5	1	1	0.0e+00	0.0e+00	1446.482421875	13.46	1	1399	1	1371	1	1371	0.95	CRISPR-associated endonuclease Cas9		0
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1430.6	9.8	1	1	0.0e+00	0.0e+00	1430.39025878906	9.82	1	1399	1	1371	1	1371	0.94	CRISPR-associated endonuclease Cas9		0
R5FLM1_9ACTN	R5FLM1_9ACTN	1415	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	0.0e+00	1403.6	18.3	1	1	0.0e+00	0.0e+00	1403.41296386719	18.30	1	1396	1	1414	1	1415	0.92	CRISPR-associated endonuclease Cas9		0
A0A133YY65_9ACTN	A0A133YY65_9ACTN	1402	>tr|E1QW44|E1QW44_OLSUV CRISPR-associated endonuclease Cas9 OS=Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) OX=633147 GN=cas9 PE=3 SV=1	-	1399	1.7e-306	1031.1	15.2	1	1	3.2e-311	2.4e-306	1030.642578125	15.17	1	1399	1	1401	1	1401	0.87	CRISPR-associated endonuclease Cas9		0
