Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
E2SS22_9FIRM	E2SS22_9FIRM	317	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.6e-212	715.8	16.3	1	1	1.9e-217	1.8e-212	715.633544921875	16.30	1	317	1	317	1	317	1.00	Uncharacterized protein		0
A0A1Y4SI19_9FIRM	A0A1Y4SI19_9FIRM	320	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	7.5e-121	414.7	19.6	1	1	8.7e-126	8.3e-121	414.536773681641	19.56	1	316	1	319	1	320	0.96	HNH endonuclease		0
R5QEW2_9FIRM	R5QEW2_9FIRM	319	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	3.9e-108	372.9	19.7	1	1	4.5e-113	4.3e-108	372.759674072266	19.73	1	317	1	319	1	319	0.95	HNH endonuclease domain protein		0
R7GL46_9FIRM	R7GL46_9FIRM	319	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.5e-105	364.5	19.7	1	1	1.7e-110	1.6e-105	364.308532714844	19.71	1	317	1	319	1	319	0.96	HNH endonuclease domain protein		0
R5FQS4_9FIRM	R5FQS4_9FIRM	322	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	6.0e-98	339.5	19.9	1	1	7.1e-103	6.9e-98	339.26416015625	19.88	2	315	3	320	2	322	0.92	HNH endonuclease:HNH nuclease		0
U2EAQ6_9BACT	U2EAQ6_9BACT	364	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	2.9e-80	281.4	18.9	1	1	3.5e-85	3.4e-80	281.143707275391	18.89	2	312	33	359	32	363	0.91	HNH endonucleaseHNH nuclease protein		0
A0A0M2PG36_9BACI	A0A0M2PG36_9BACI	324	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.5e-67	239.6	15.3	1	1	1.7e-72	1.6e-67	239.496490478516	15.25	1	316	1	323	1	324	0.94	HNH endonuclease		0
Q6LZ71_METMP	Q6LZ71_METMP	323	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	2.4e-64	229.1	15.7	1	1	3.0e-69	2.9e-64	228.803115844727	15.72	1	314	1	320	1	322	0.88	HNH endonuclease:HNH nuclease		0
A0A1T5ECQ3_9FLAO	A0A1T5ECQ3_9FLAO	308	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.7e-62	223.0	10.3	1	1	2.0e-67	1.9e-62	222.852951049805	10.28	1	316	2	307	2	308	0.91	HNH endonuclease		0
D7DST9_METV3	D7DST9_METV3	344	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.1e-61	220.4	21.6	1	1	2.9e-66	2.7e-61	219.033950805664	21.65	2	314	11	341	10	343	0.89	Uncharacterized protein		0
A0A088T3T0_9BACT	A0A088T3T0_9BACT	321	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	8.5e-60	214.1	12.8	1	1	1.1e-64	1.0e-59	213.874130249023	12.83	3	315	2	319	1	320	0.92	Uncharacterized protein		0
A0A229URI5_9BACL	A0A229URI5_9BACL	324	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.3e-55	200.4	5.5	1	1	1.6e-60	1.5e-55	200.156982421875	5.52	4	314	3	321	1	323	0.88	HNH endonuclease		0
A0A1R1BLZ6_9BACL	A0A1R1BLZ6_9BACL	331	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	2.5e-55	199.4	9.0	1	1	3.4e-60	3.3e-55	199.077407836914	8.99	4	314	9	328	7	330	0.88	HNH endonuclease		0
A0A0Q9KWT7_9BACL	A0A0Q9KWT7_9BACL	324	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	1.0e-54	197.4	8.9	1	1	1.3e-59	1.2e-54	197.182525634766	8.91	4	314	3	321	1	323	0.90	HNH endonuclease		0
A0A094IET2_9BACT	A0A094IET2_9BACT	317	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	5.3e-47	172.1	14.3	1	1	6.4e-52	6.2e-47	171.896682739258	14.28	1	312	1	312	1	316	0.87	Uncharacterized protein		0
I2K840_9PROT	I2K840_9PROT	318	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	2.1e-26	104.5	10.3	1	1	2.9e-31	2.8e-26	104.050979614258	10.33	12	284	9	281	3	290	0.86	HNH endonuclease		0
A0A1I0Q348_9FIRM	A0A1I0Q348_9FIRM	328	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	2.5e-24	97.7	12.0	1	1	3.4e-29	3.3e-24	97.253059387207	12.04	15	297	33	303	19	316	0.88	HNH endonuclease		0
A0A0A2TIH8_9BACI	A0A0A2TIH8_9BACI	326	>tr|E2SS22|E2SS22_9FIRM Uncharacterized protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_04095 PE=4 SV=1	-	317	2.5e-24	97.7	4.2	1	1	5.1e-29	4.9e-24	96.6629028320312	4.09	16	289	33	290	18	295	0.84	HNH endonuclease		0
