Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
T0UXW1_9STRE	T0UXW1_9STRE	662	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	0.0e+00	1453.5	31.7	1	1	0.0e+00	0.0e+00	1453.36120605469	31.72	1	662	1	662	1	662	1.00	CRISPR-associated protein, Csn1 family		0
A0A139NKI7_9STRE	A0A139NKI7_9STRE	1362	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.3e-295	993.0	26.1	1	1	1.7e-300	2.0e-295	992.412231445312	26.15	1	610	495	1098	495	1124	0.97	CRISPR-associated endonuclease Cas9		0
F9HIG7_9STRE	F9HIG7_9STRE	1371	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	4.0e-295	991.4	29.8	1	1	6.1e-300	7.0e-295	990.61865234375	29.77	1	636	496	1138	496	1163	0.97	CRISPR-associated endonuclease Cas9		0
A0A1G6A5G6_9STRE	A0A1G6A5G6_9STRE	1378	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	9.2e-285	957.2	24.1	1	1	7.9e-290	9.2e-285	957.207092285156	24.09	1	636	496	1140	496	1149	0.98	CRISPR-associated endonuclease Cas9		0
Q8E042_STRA5	Q8E042_STRA5	1370	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	4.4e-267	898.8	27.9	1	1	6.2e-272	7.2e-267	898.107055664062	27.90	1	636	496	1131	496	1154	0.97	CRISPR-associated endonuclease Cas9		0
A0A172Q7S3_9STRE	A0A172Q7S3_9STRE	1372	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.8e-266	896.8	28.5	1	1	2.5e-271	2.9e-266	896.109008789062	28.53	1	636	496	1138	496	1153	0.96	CRISPR-associated endonuclease Cas9		0
A0A0E4H4H8_9STRE	A0A0E4H4H8_9STRE	1361	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	2.7e-265	892.9	25.4	1	1	4.5e-270	5.2e-265	891.952270507812	25.41	1	635	496	1127	496	1136	0.98	CRISPR-associated endonuclease Cas9		0
M4YX12_STREQ	M4YX12_STREQ	1371	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	4.5e-258	869.1	28.1	1	1	6.7e-263	7.7e-258	868.276000976562	28.11	1	627	495	1123	495	1130	0.98	CRISPR-associated endonuclease Cas9		0
CAS9_STRMU	CAS9_STRMU	1345	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.2e-256	864.4	29.8	1	1	2.0e-261	2.4e-256	863.368469238281	29.75	1	637	495	1113	495	1138	0.97	CRISPR-associated endonuclease Cas9		0
A0A1Q8RF43_9STRE	A0A1Q8RF43_9STRE	1343	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.3e-252	851.0	28.6	1	1	1.9e-257	2.1e-252	850.293334960938	28.65	1	636	493	1110	493	1135	0.97	CRISPR-associated endonuclease Cas9		0
A0A0P6SHS4_9STRE	A0A0P6SHS4_9STRE	1368	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	8.2e-248	835.2	23.4	1	1	1.1e-252	1.3e-247	834.511047363281	23.36	1	628	497	1126	497	1136	0.97	CRISPR-associated endonuclease Cas9		0
V4Q7N5_STRIN	V4Q7N5_STRIN	1172	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	3.4e-245	826.5	24.0	1	1	5.8e-250	6.8e-245	825.52783203125	24.01	1	636	495	1130	495	1154	0.96	CRISPR-associated endonuclease Cas9		0
A0A1Q8EAV4_9STRE	A0A1Q8EAV4_9STRE	1370	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.5e-242	817.8	20.5	1	1	1.3e-247	1.5e-242	817.754943847656	20.54	1	636	496	1136	496	1141	0.95	CRISPR-associated endonuclease Cas9		0
G5KAN2_9STRE	G5KAN2_9STRE	1374	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	5.0e-235	792.9	25.4	1	1	4.3e-240	5.0e-235	792.919250488281	25.37	1	635	498	1135	498	1141	0.96	CRISPR-associated endonuclease Cas9		0
G5JVJ9_9STRE	G5JVJ9_9STRE	1338	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	7.1e-231	779.2	27.9	1	1	6.2e-236	7.1e-231	779.203674316406	27.95	1	614	493	1089	493	1110	0.94	CRISPR-associated endonuclease Cas9		0
R3WHR8_9ENTE	R3WHR8_9ENTE	1334	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	5.2e-218	736.7	22.3	1	1	6.9e-223	8.0e-218	736.098815917969	22.34	1	628	498	1107	498	1123	0.96	CRISPR-associated endonuclease Cas9		0
A0A242K0X1_9ENTE	A0A242K0X1_9ENTE	1337	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	6.6e-218	736.4	20.6	1	1	9.8e-223	1.1e-217	735.5947265625	20.63	1	635	501	1114	501	1132	0.96	CRISPR-associated endonuclease Cas9		0
A0A1X6WKP1_9ENTE	A0A1X6WKP1_9ENTE	1339	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	2.0e-205	695.2	25.3	1	1	2.9e-210	3.3e-205	694.412353515625	25.31	1	624	503	1110	503	1119	0.95	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	6.6e-205	693.4	22.7	1	1	9.5e-210	1.1e-204	692.711486816406	22.68	1	635	501	1108	501	1124	0.96	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	2.5e-204	691.5	22.0	1	1	3.5e-209	4.1e-204	690.820983886719	21.98	1	627	493	1100	493	1110	0.95	CRISPR-associated endonuclease Cas9		0
A0A1L8RHH1_9ENTE	A0A1L8RHH1_9ENTE	1289	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	6.3e-201	680.3	21.7	1	1	5.4e-206	6.3e-201	680.300231933594	21.73	1	608	471	1051	471	1077	0.95	CRISPR-associated endonuclease Cas9		0
H3NFH0_9LACT	H3NFH0_9LACT	1332	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.4e-200	679.2	25.2	1	1	1.2e-205	1.4e-200	679.185302734375	25.16	1	626	497	1101	497	1111	0.96	CRISPR-associated endonuclease Cas9		0
A0A1I6SZS7_9BACI	A0A1I6SZS7_9BACI	1336	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	4.6e-199	674.1	27.2	1	1	6.5e-204	7.6e-199	673.426452636719	27.24	1	626	504	1105	504	1112	0.96	CRISPR-associated endonuclease Cas9		0
S0RVL7_9ENTE	S0RVL7_9ENTE	1079	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.8e-198	672.2	22.1	1	1	2.9e-203	3.4e-198	671.265197753906	22.06	1	633	240	847	240	869	0.94	CRISPR-associated endonuclease Cas9		0
A0A1J0A4R8_9ENTE	A0A1J0A4R8_9ENTE	1335	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.9e-198	672.1	31.4	1	1	1.7e-203	1.9e-198	672.075256347656	31.45	1	636	499	1109	499	1135	0.93	CRISPR-associated endonuclease Cas9		0
E6LI02_9ENTE	E6LI02_9ENTE	1330	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	3.1e-197	668.1	27.2	1	1	2.7e-202	3.1e-197	668.077331542969	27.22	1	637	499	1106	499	1132	0.94	CRISPR-associated endonuclease Cas9		0
A0A1R4JY54_9SPHI	A0A1R4JY54_9SPHI	1337	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	8.0e-197	666.7	17.7	1	1	1.1e-201	1.3e-196	666.006652832031	17.74	1	627	504	1108	504	1118	0.96	CRISPR-associated endonuclease Cas9		0
A0A1L8WQK4_9ENTE	A0A1L8WQK4_9ENTE	1330	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	2.4e-192	652.0	25.7	1	1	4.5e-197	5.2e-192	650.833801269531	25.68	2	633	487	1098	486	1105	0.94	CRISPR-associated endonuclease Cas9		0
A0A1Q2D5C5_9ENTE	A0A1Q2D5C5_9ENTE	1332	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	4.3e-188	637.9	19.8	1	1	7.2e-193	8.4e-188	636.945617675781	19.82	1	627	501	1101	501	1121	0.95	CRISPR-associated endonuclease Cas9		0
V5XLV7_ENTMU	V5XLV7_ENTMU	1330	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	5.6e-186	630.9	19.4	1	1	8.7e-191	1.0e-185	630.0712890625	19.43	1	627	494	1095	494	1104	0.95	CRISPR-associated endonuclease Cas9		0
A0A2A4DVN9_ENTHR	A0A2A4DVN9_ENTHR	1336	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	1.6e-184	626.1	19.7	1	1	2.4e-189	2.8e-184	625.3154296875	19.67	1	633	495	1104	495	1126	0.93	CRISPR-associated endonuclease Cas9		0
I6T669_ENTHA	I6T669_ENTHA	1336	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	8.1e-184	623.8	19.4	1	1	1.3e-188	1.5e-183	622.934814453125	19.38	1	633	495	1104	495	1125	0.93	CRISPR-associated endonuclease Cas9		0
A0A1E8GQ60_9LACT	A0A1E8GQ60_9LACT	1358	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	4.2e-177	601.6	28.9	1	1	3.6e-182	4.2e-177	601.617065429688	28.91	1	611	522	1109	522	1129	0.95	CRISPR-associated endonuclease Cas9		0
A0A095XEU7_9FIRM	A0A095XEU7_9FIRM	1335	>tr|T0UXW1|T0UXW1_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1832 PE=4 SV=1	-	662	5.4e-171	581.4	30.2	1	1	1.0e-175	1.2e-170	580.312438964844	30.17	1	627	502	1103	502	1107	0.94	CRISPR-associated endonuclease Cas9		0
