Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1P8Q111_9LACO	A0A1P8Q111_9LACO	1365	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	3054.3	75.9	1	1	0.0e+00	0.0e+00	3054.15063476562	75.91	1	1365	1	1365	1	1365	1.00	CRISPR-associated endonuclease Cas9		0
A0A0H4LAX2_9LACO	A0A0H4LAX2_9LACO	1356	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1406.7	74.0	1	1	0.0e+00	0.0e+00	1406.52661132812	74.01	1	1365	1	1356	1	1356	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1KBL5_9LACO	A0A0R1KBL5_9LACO	899	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	0.0e+00	1375.3	42.3	1	1	0.0e+00	0.0e+00	1375.02258300781	42.31	1	839	1	823	1	841	0.99	CRISPR associated protein		0
A0A0R2HM97_9FIRM	A0A0R2HM97_9FIRM	1344	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	1.2e-230	780.0	70.0	1	1	1.2e-235	1.5e-230	779.731323242188	70.04	6	1359	7	1339	1	1343	0.86	CRISPR-associated endonuclease Cas9		0
R7I2K1_9CLOT	R7I2K1_9CLOT	1381	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	1.0e-226	767.0	53.4	1	1	1.0e-231	1.3e-226	766.753784179688	53.38	3	1361	6	1378	4	1381	0.85	CRISPR-associated endonuclease Cas9		0
R7GMQ9_9FIRM	R7GMQ9_9FIRM	1333	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	1.7e-222	753.0	52.6	1	1	1.7e-227	2.1e-222	752.745971679688	52.64	3	1359	3	1328	1	1332	0.87	CRISPR-associated endonuclease Cas9		0
X0QNI0_9LACO	X0QNI0_9LACO	1366	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	1.8e-220	746.4	23.2	1	1	1.7e-225	2.1e-220	746.146057128906	23.17	5	1364	2	1357	1	1358	0.87	CRISPR-associated endonuclease Cas9		0
A0A1I0EHL5_9FIRM	A0A1I0EHL5_9FIRM	1319	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	5.2e-215	728.3	85.3	1	1	4.9e-220	6.0e-215	728.055480957031	85.33	1	1360	1	1315	1	1319	0.88	CRISPR-associated endonuclease Cas9		0
A0A261F7M3_9BIFI	A0A261F7M3_9BIFI	1399	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	8.2e-214	724.3	19.2	1	1	8.2e-219	1.0e-213	723.996948242188	19.20	6	1361	10	1386	6	1390	0.83	CRISPR-associated endonuclease Cas9		0
A0A0R2FVI8_9LACT	A0A0R2FVI8_9LACT	1309	>tr|A0A1P8Q111|A0A1P8Q111_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus allii OX=1847728 GN=cas9 PE=3 SV=1	-	1365	2.6e-212	719.3	23.6	1	1	2.5e-217	3.1e-212	719.088439941406	23.63	17	1360	2	1301	1	1306	0.87	CRISPR-associated endonuclease Cas9		0
