Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1I0EHL5_9FIRM	A0A1I0EHL5_9FIRM	1319	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	0.0e+00	2937.4	114.4	1	1	0.0e+00	0.0e+00	2937.21997070312	114.38	1	1319	1	1319	1	1319	1.00	CRISPR-associated endonuclease Cas9		0
R7GMQ9_9FIRM	R7GMQ9_9FIRM	1333	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	0.0e+00	1405.3	73.2	1	1	0.0e+00	0.0e+00	1405.087890625	73.18	4	1319	4	1333	1	1333	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2HM97_9FIRM	A0A0R2HM97_9FIRM	1344	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	0.0e+00	1390.8	92.3	1	1	0.0e+00	0.0e+00	1390.47204589844	92.33	8	1319	9	1344	3	1344	0.96	CRISPR-associated endonuclease Cas9		0
R7I2K1_9CLOT	R7I2K1_9CLOT	1381	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	1.1e-255	862.8	82.5	1	1	1.9e-259	1.9e-254	858.697814941406	82.49	7	1315	10	1377	4	1381	0.84	CRISPR-associated endonuclease Cas9		0
A0A1P8Q111_9LACO	A0A1P8Q111_9LACO	1365	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	6.6e-218	737.6	78.1	1	1	9.7e-223	9.9e-218	737.078674316406	78.14	1	1315	1	1360	1	1364	0.86	CRISPR-associated endonuclease Cas9		0
A0A0H4LAX2_9LACO	A0A0H4LAX2_9LACO	1356	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	1.5e-202	686.7	80.8	1	1	1.7e-207	1.8e-202	686.541198730469	80.80	2	1317	2	1353	1	1355	0.84	CRISPR-associated endonuclease Cas9		0
R7KBA0_9CLOT	R7KBA0_9CLOT	1343	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	2.3e-200	679.5	109.6	1	1	2.9e-205	3.0e-200	679.182739257812	109.64	5	1315	4	1339	2	1343	0.82	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	2.7e-198	672.7	13.3	1	1	3.5e-203	3.5e-198	672.3076171875	13.26	6	1317	9	1392	5	1394	0.78	CRISPR-associated endonuclease Cas9		0
R5MT23_9MOLU	R5MT23_9MOLU	1345	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	1.8e-197	670.0	99.6	1	1	2.2e-202	2.2e-197	669.656799316406	99.62	7	1315	3	1338	1	1341	0.84	CRISPR-associated endonuclease Cas9		0
CAS9_STRMU	CAS9_STRMU	1345	>tr|A0A1I0EHL5|A0A1I0EHL5_9FIRM CRISPR-associated endonuclease Cas9 OS=[Clostridium] cocleatum OX=69824 GN=cas9 PE=3 SV=1	-	1319	8.7e-197	667.7	62.2	1	1	9.9e-202	1.0e-196	667.484008789062	62.18	6	1318	3	1338	1	1339	0.83	CRISPR-associated endonuclease Cas9		0
