Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1E5KUU0_9ENTE	A0A1E5KUU0_9ENTE	1438	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	0.0e+00	3233.7	70.4	1	1	0.0e+00	0.0e+00	3233.56201171875	70.42	1	1438	1	1438	1	1438	1.00	CRISPR-associated endonuclease Cas9		0
A0A2A4DVN9_ENTHR	A0A2A4DVN9_ENTHR	1336	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	2.9e-246	831.6	56.5	1	2	9.8e-207	9.8e-202	684.068054199219	42.78	4	1040	3	966	1	968	0.87	CRISPR-associated endonuclease Cas9		0
A0A2A4DVN9_ENTHR	A0A2A4DVN9_ENTHR	1336	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	2.9e-246	831.6	56.5	2	2	1.4e-46	1.4e-41	153.409408569336	5.70	1071	1436	969	1327	967	1328	0.81	CRISPR-associated endonuclease Cas9		0
I6T669_ENTHA	I6T669_ENTHA	1336	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	2.0e-245	828.8	56.5	1	2	8.3e-206	8.4e-201	680.983825683594	43.02	4	1040	3	966	1	969	0.87	CRISPR-associated endonuclease Cas9		0
I6T669_ENTHA	I6T669_ENTHA	1336	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	2.0e-245	828.8	56.5	2	2	9.0e-47	9.0e-42	154.055404663086	5.40	1071	1436	969	1327	967	1328	0.81	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	1.3e-244	826.1	51.0	1	2	7.4e-205	7.4e-200	677.843200683594	37.90	3	1040	2	969	1	973	0.87	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	1.3e-244	826.1	51.0	2	2	7.1e-47	7.2e-42	154.391418457031	5.19	1072	1437	973	1329	970	1330	0.82	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	1.8e-242	819.0	53.6	1	2	3.1e-203	3.1e-198	672.490661621094	41.65	3	1041	2	965	1	968	0.87	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	1.8e-242	819.0	53.6	2	2	7.9e-46	7.9e-41	150.934432983398	4.32	1072	1438	968	1327	964	1327	0.80	CRISPR-associated endonuclease Cas9		0
A0A1R4JY54_9SPHI	A0A1R4JY54_9SPHI	1337	>tr|A0A1E5KUU0|A0A1E5KUU0_9ENTE CRISPR-associated endonuclease Cas9 OS=Enterococcus rivorum OX=762845 GN=cas9 PE=3 SV=1	-	1438	9.1e-241	813.4	47.4	1	2	1.0e-204	1.0e-199	677.382202148438	37.08	3	1040	2	974	1	976	0.86	CRISPR-associated endonuclease Cas9		0
