Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	3083.4	42.3	1	1	0.0e+00	0.0e+00	3083.2392578125	42.26	1	1364	1	1364	1	1364	1.00	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1612.0	42.9	1	1	0.0e+00	0.0e+00	1611.69799804688	42.92	5	1364	11	1377	7	1377	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1601.9	36.0	1	1	0.0e+00	0.0e+00	1601.67858886719	35.98	5	1364	4	1363	2	1363	0.97	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1577.9	37.3	1	1	0.0e+00	0.0e+00	1577.76928710938	37.32	4	1364	4	1371	1	1371	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1449.9	42.0	1	1	0.0e+00	0.0e+00	1449.66735839844	41.98	4	1362	4	1357	1	1359	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1406.2	42.3	1	1	0.0e+00	0.0e+00	1405.98120117188	42.31	3	1362	3	1375	1	1377	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1349.6	39.1	1	1	0.0e+00	0.0e+00	1349.39099121094	39.06	3	1364	2	1366	1	1366	0.95	CRISPR-associated endonuclease Cas9		0
I7L6U4_9LACO	I7L6U4_9LACO	1386	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1317.4	57.5	1	1	0.0e+00	0.0e+00	1317.12438964844	57.54	5	1364	7	1386	5	1386	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2AFH9_9LACO	A0A0R2AFH9_9LACO	1324	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1297.7	45.8	1	1	0.0e+00	0.0e+00	1297.51904296875	45.78	30	1364	2	1324	1	1324	0.93	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|E0NI75|E0NI75_PEDAC CRISPR-associated endonuclease Cas9 OS=Pediococcus acidilactici DSM 20284 OX=862514 GN=cas9 PE=3 SV=1	-	1364	0.0e+00	1295.6	44.7	1	2	4.3e-45	4.1e-40	148.516311645508	0.20	2	141	7	147	6	151	0.93	CRISPR-associated endonuclease Cas9		0
