Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	2990.1	38.8	1	1	0.0e+00	0.0e+00	2989.94604492188	38.77	1	1332	1	1332	1	1332	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1759.2	40.3	1	1	0.0e+00	0.0e+00	1758.81079101562	40.34	3	1326	4	1336	2	1340	0.98	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1452.5	39.6	1	1	0.0e+00	0.0e+00	1452.22973632812	39.65	1	1327	1	1326	1	1329	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1442.4	30.2	1	1	0.0e+00	0.0e+00	1442.10119628906	30.17	1	1327	1	1324	1	1327	0.94	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1399.0	37.9	1	1	0.0e+00	0.0e+00	1398.70227050781	37.87	3	1326	4	1325	1	1328	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1382.7	32.6	1	1	0.0e+00	0.0e+00	1382.36633300781	32.59	1	1326	1	1327	1	1330	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1368.1	30.3	1	1	0.0e+00	0.0e+00	1367.77087402344	30.29	2	1325	2	1327	1	1332	0.94	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1320.2	39.8	1	1	0.0e+00	0.0e+00	1319.69860839844	39.83	4	1326	11	1336	9	1340	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1303.7	34.7	1	1	0.0e+00	0.0e+00	1303.37023925781	34.73	3	1326	3	1322	1	1326	0.95	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|A0A081BKX9|A0A081BKX9_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oryzae JCM 18671 OX=1291743 GN=cas9 PE=3 SV=1	-	1332	0.0e+00	1285.7	33.8	1	1	0.0e+00	0.0e+00	1285.29870605469	33.76	3	1324	4	1328	2	1332	0.95	CRISPR-associated endonuclease Cas9		0
