Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
D4J3S7_9FIRM	D4J3S7_9FIRM	1338	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	3012.7	39.7	1	1	0.0e+00	0.0e+00	3012.55053710938	39.74	1	1338	1	1338	1	1338	1.00	CRISPR-associated endonuclease Cas9		0
B5CL59_9FIRM	B5CL59_9FIRM	1341	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	2193.9	41.8	1	1	0.0e+00	0.0e+00	2193.68994140625	41.77	3	1337	3	1340	1	1341	0.99	CRISPR-associated endonuclease Cas9		0
R9MHT9_9FIRM	R9MHT9_9FIRM	1338	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	2052.6	21.7	1	1	0.0e+00	0.0e+00	2052.4716796875	21.72	3	1337	2	1337	1	1338	0.99	CRISPR-associated endonuclease Cas9		0
R6ZAM8_9CLOT	R6ZAM8_9CLOT	1340	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1803.3	28.9	1	1	0.0e+00	0.0e+00	1803.1162109375	28.89	1	1336	1	1338	1	1340	0.99	CRISPR-associated endonuclease Cas9		0
R5RU71_9CLOT	R5RU71_9CLOT	1349	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1593.0	44.3	1	1	0.0e+00	0.0e+00	1592.85327148438	44.32	1	1335	1	1346	1	1349	0.97	CRISPR-associated endonuclease Cas9		0
R5SXF4_9CLOT	R5SXF4_9CLOT	1356	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1583.9	37.6	1	1	0.0e+00	0.0e+00	1583.64172363281	37.58	3	1335	5	1353	2	1356	0.97	CRISPR-associated endonuclease Cas9		0
S1NSG8_9ENTE	S1NSG8_9ENTE	1350	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1339.8	46.5	1	1	0.0e+00	0.0e+00	1339.61486816406	46.53	3	1336	2	1348	1	1350	0.95	CRISPR-associated endonuclease Cas9		0
A0A1G9IV55_9CLOT	A0A1G9IV55_9CLOT	1371	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1228.7	31.4	1	1	0.0e+00	0.0e+00	1228.42407226562	31.43	4	1337	25	1366	22	1367	0.94	CRISPR-associated endonuclease Cas9		0
A0A1G5VTW4_9FIRM	A0A1G5VTW4_9FIRM	1359	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1214.9	31.4	1	1	0.0e+00	0.0e+00	1214.69934082031	31.36	2	1335	6	1353	5	1356	0.92	CRISPR-associated endonuclease Cas9		0
R6U7U5_9CLOT	R6U7U5_9CLOT	1323	>tr|D4J3S7|D4J3S7_9FIRM CRISPR-associated endonuclease Cas9 OS=Coprococcus catus GD/7 OX=717962 GN=cas9 PE=3 SV=1	-	1338	0.0e+00	1174.9	38.1	1	1	0.0e+00	0.0e+00	1174.759765625	38.11	3	1337	2	1322	1	1323	0.94	CRISPR-associated endonuclease Cas9		0
