Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R1MNC7_9LACO	A0A0R1MNC7_9LACO	1351	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	3048.2	32.8	1	1	0.0e+00	0.0e+00	3048.04467773438	32.78	1	1351	1	1351	1	1351	1.00	CRISPR-associated endonuclease Cas9		0
A0A0R1K630_9LACO	A0A0R1K630_9LACO	1376	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1737.7	31.5	1	1	0.0e+00	0.0e+00	1733.93115234375	31.52	1	1351	1	1376	1	1376	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2DR00_9LACO	A0A0R2DR00_9LACO	1345	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1428.4	25.3	1	1	0.0e+00	0.0e+00	1428.25378417969	25.26	1	1351	1	1345	1	1345	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1236.7	26.1	1	1	0.0e+00	0.0e+00	1236.47155761719	26.15	3	1349	4	1375	2	1377	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1232.3	29.5	1	1	0.0e+00	0.0e+00	1232.10510253906	29.54	1	1351	1	1364	1	1364	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1206.7	30.7	1	1	0.0e+00	0.0e+00	1206.56665039062	30.66	2	1351	2	1368	1	1368	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1193.2	31.7	1	1	0.0e+00	0.0e+00	1192.99658203125	31.73	2	1351	2	1369	1	1369	0.93	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1156.7	25.4	1	1	0.0e+00	0.0e+00	1156.50891113281	25.40	1	1311	1	1327	1	1332	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1RHH9_9LACO	A0A0R1RHH9_9LACO	1378	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1151.5	16.9	1	1	0.0e+00	0.0e+00	1151.24536132812	16.89	3	1351	14	1378	12	1378	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0R1MNC7|A0A0R1MNC7_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus zymae DSM 19395 OX=1423817 GN=cas9 PE=3 SV=1	-	1351	0.0e+00	1148.3	29.6	1	1	0.0e+00	0.0e+00	1148.11901855469	29.60	1	1351	1	1366	1	1366	0.93	CRISPR-associated endonuclease Cas9		0
