Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	3203.6	19.9	1	1	0.0e+00	0.0e+00	3203.4375	19.92	1	1396	1	1396	1	1396	1.00	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1979.6	10.9	1	1	0.0e+00	0.0e+00	1979.44445800781	10.95	4	1396	3	1384	1	1384	0.97	CRISPR-associated endonuclease Cas9		0
U2VD49_9ACTN	U2VD49_9ACTN	1395	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1962.4	13.1	1	1	0.0e+00	0.0e+00	1962.26342773438	13.10	3	1396	2	1395	1	1395	0.97	CRISPR-associated endonuclease Cas9		0
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1899.3	15.3	1	1	0.0e+00	0.0e+00	1899.10034179688	15.25	3	1396	2	1399	1	1399	0.97	CRISPR-associated endonuclease Cas9		0
R7D1C6_9ACTN	R7D1C6_9ACTN	1391	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1836.3	12.8	1	1	0.0e+00	0.0e+00	1836.13427734375	12.82	3	1396	2	1391	1	1391	0.96	CRISPR-associated endonuclease Cas9		0
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1626.2	15.1	1	1	0.0e+00	0.0e+00	1626.01049804688	15.14	3	1395	2	1379	1	1380	0.96	CRISPR-associated endonuclease Cas9		0
R5FLM1_9ACTN	R5FLM1_9ACTN	1415	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1522.1	18.8	1	1	0.0e+00	0.0e+00	1521.87731933594	18.82	4	1393	3	1414	1	1415	0.92	CRISPR-associated endonuclease Cas9		0
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1502.6	11.4	1	1	0.0e+00	0.0e+00	1502.42199707031	11.39	3	1396	2	1371	1	1371	0.95	CRISPR-associated endonuclease Cas9		0
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1489.9	8.0	1	1	0.0e+00	0.0e+00	1489.69836425781	8.02	3	1396	2	1371	1	1371	0.96	CRISPR-associated endonuclease Cas9		0
A0A133YY65_9ACTN	A0A133YY65_9ACTN	1402	>tr|R6I3U9|R6I3U9_9ACTN CRISPR-associated endonuclease Cas9 OS=Eggerthella sp. CAG:209 OX=1262875 GN=cas9 PE=3 SV=1	-	1396	0.0e+00	1100.1	9.7	1	1	0.0e+00	0.0e+00	1099.88513183594	9.75	4	1396	3	1401	1	1401	0.89	CRISPR-associated endonuclease Cas9		0
