Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1Y4G2J4_9ACTN	A0A1Y4G2J4_9ACTN	1371	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	3154.3	18.8	1	1	0.0e+00	0.0e+00	3154.11938476562	18.78	1	1371	1	1371	1	1371	1.00	CRISPR-associated endonuclease Cas9		0
A0A2K2U9X6_9ACTN	A0A2K2U9X6_9ACTN	1371	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	2622.3	17.0	1	1	0.0e+00	0.0e+00	2622.10375976562	16.95	1	1371	1	1371	1	1371	1.00	CRISPR-associated endonuclease Cas9		0
F7UWL3_EEGSY	F7UWL3_EEGSY	1380	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1617.2	9.5	1	1	0.0e+00	0.0e+00	1617.0673828125	9.54	1	1369	1	1378	1	1380	0.96	CRISPR-associated endonuclease Cas9		0
R5FLM1_9ACTN	R5FLM1_9ACTN	1415	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1557.9	13.1	1	1	0.0e+00	0.0e+00	1551.25341796875	13.06	1	1369	1	1415	1	1415	0.93	CRISPR-associated endonuclease Cas9		0
F2NB82_CORGP	F2NB82_CORGP	1384	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1507.2	11.6	1	1	0.0e+00	0.0e+00	1507.05065917969	11.58	1	1371	1	1384	1	1384	0.96	CRISPR-associated endonuclease Cas9		0
U2VD49_9ACTN	U2VD49_9ACTN	1395	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1499.3	11.2	1	1	0.0e+00	0.0e+00	1499.04235839844	11.21	1	1371	1	1395	1	1395	0.94	CRISPR-associated endonuclease Cas9		0
R6I3U9_9ACTN	R6I3U9_9ACTN	1396	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1488.9	13.2	1	1	0.0e+00	0.0e+00	1488.67175292969	13.25	2	1371	3	1396	2	1396	0.95	CRISPR-associated endonuclease Cas9		0
E1QW44_OLSUV	E1QW44_OLSUV	1399	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1428.1	11.8	1	1	0.0e+00	0.0e+00	1427.89367675781	11.80	1	1371	1	1399	1	1399	0.93	CRISPR-associated endonuclease Cas9		0
R7D1C6_9ACTN	R7D1C6_9ACTN	1391	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	0.0e+00	1367.3	8.5	1	1	0.0e+00	0.0e+00	1367.1416015625	8.55	1	1371	1	1391	1	1391	0.93	CRISPR-associated endonuclease Cas9		0
U2U1P0_9ACTN	U2U1P0_9ACTN	1346	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	2.7e-311	1047.3	2.8	1	1	4.7e-316	3.5e-311	1046.96081542969	2.81	114	1367	58	1337	52	1340	0.91	CRISPR-associated endonuclease Cas9		0
A0A133YY65_9ACTN	A0A133YY65_9ACTN	1402	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	3.9e-298	1003.7	0.9	1	1	5.9e-303	4.4e-298	1003.54595947266	0.90	1	1370	1	1400	1	1401	0.88	CRISPR-associated endonuclease Cas9		0
A0A143X9R5_9ACTN	A0A143X9R5_9ACTN	488	>tr|A0A1Y4G2J4|A0A1Y4G2J4_9ACTN CRISPR-associated endonuclease Cas9 OS=Gordonibacter urolithinfaciens OX=1335613 GN=cas9 PE=3 SV=1	-	1371	5.9e-251	847.4	2.7	1	1	8.8e-256	6.6e-251	847.254516601562	2.72	884	1371	1	488	1	488	1.00	CRISPR-associated endonuclease Cas9/Csn1		0
