Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
T0UPW4_9STRE	T0UPW4_9STRE	444	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	3.0e-290	973.2	23.0	1	1	1.3e-295	3.3e-290	973.054382324219	23.02	1	444	1	444	1	444	1.00	CRISPR-associated protein, Csn1 family		0
CAS9_STRMU	CAS9_STRMU	1345	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	1.8e-201	680.7	16.8	1	1	1.3e-206	3.3e-201	679.873352050781	16.82	1	444	32	475	32	475	1.00	CRISPR-associated endonuclease Cas9		0
A0A1Q8RF43_9STRE	A0A1Q8RF43_9STRE	1343	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	3.3e-196	663.4	19.2	1	1	2.5e-201	6.4e-196	662.464111328125	19.21	1	444	32	473	32	473	0.99	CRISPR-associated endonuclease Cas9		0
F9HIG7_9STRE	F9HIG7_9STRE	1371	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	7.3e-196	662.3	18.2	1	1	5.9e-201	1.5e-195	661.219543457031	18.21	1	444	33	476	33	476	0.98	CRISPR-associated endonuclease Cas9		0
A0A139NKI7_9STRE	A0A139NKI7_9STRE	1362	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	4.9e-189	639.8	15.6	1	1	3.5e-194	9.0e-189	638.917114257812	15.56	1	444	32	475	32	475	0.99	CRISPR-associated endonuclease Cas9		0
Q8E042_STRA5	Q8E042_STRA5	1370	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	1.8e-188	637.9	21.7	1	1	1.5e-193	4.0e-188	636.787231445312	21.69	1	444	32	476	32	476	0.99	CRISPR-associated endonuclease Cas9		0
G5JVJ9_9STRE	G5JVJ9_9STRE	1338	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	2.6e-176	597.9	18.0	1	1	2.5e-181	6.4e-176	596.587524414062	18.00	1	444	32	473	32	473	0.98	CRISPR-associated endonuclease Cas9		0
A0A0E4H4H8_9STRE	A0A0E4H4H8_9STRE	1361	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	3.3e-174	590.9	14.9	1	1	2.5e-179	6.4e-174	589.994689941406	14.93	1	444	32	476	32	476	0.98	CRISPR-associated endonuclease Cas9		0
A0A1G6A5G6_9STRE	A0A1G6A5G6_9STRE	1378	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	7.2e-173	586.5	19.4	1	1	5.6e-178	1.4e-172	585.547912597656	19.40	1	444	32	476	32	476	0.99	CRISPR-associated endonuclease Cas9		0
A0A172Q7S3_9STRE	A0A172Q7S3_9STRE	1372	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	6.1e-171	580.2	21.0	1	1	5.1e-176	1.3e-170	579.096130371094	21.02	1	444	33	476	33	476	0.99	CRISPR-associated endonuclease Cas9		0
A0A1L8SVK0_9ENTE	A0A1L8SVK0_9ENTE	1331	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	5.4e-168	570.5	11.6	1	1	2.1e-173	5.4e-168	570.472412109375	11.57	1	444	32	481	32	481	0.97	CRISPR-associated endonuclease Cas9		0
M4YX12_STREQ	M4YX12_STREQ	1371	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	9.5e-166	563.1	13.2	1	1	6.8e-171	1.8e-165	562.201599121094	13.20	2	444	33	475	32	475	0.99	CRISPR-associated endonuclease Cas9		0
A0A1Q8EAV4_9STRE	A0A1Q8EAV4_9STRE	1370	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	1.2e-160	546.3	13.8	1	1	7.2e-166	1.9e-160	545.642028808594	13.77	1	444	33	476	33	476	0.99	CRISPR-associated endonuclease Cas9		0
A0A0P6SHS4_9STRE	A0A0P6SHS4_9STRE	1368	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	4.1e-160	544.5	9.5	1	1	1.6e-165	4.1e-160	544.527893066406	9.49	1	444	34	477	34	477	0.99	CRISPR-associated endonuclease Cas9		0
A0A242K0X1_9ENTE	A0A242K0X1_9ENTE	1337	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	2.5e-158	538.6	14.5	1	1	9.8e-164	2.5e-158	538.619689941406	14.48	1	444	31	481	31	481	0.97	CRISPR-associated endonuclease Cas9		0
G5KAN2_9STRE	G5KAN2_9STRE	1374	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	3.5e-157	534.9	11.5	1	1	1.3e-162	3.5e-157	534.877319335938	11.45	1	444	34	478	34	478	0.99	CRISPR-associated endonuclease Cas9		0
R3WHR8_9ENTE	R3WHR8_9ENTE	1334	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	4.0e-156	531.4	9.5	1	1	3.9e-161	1.0e-155	530.064208984375	9.51	1	444	32	478	32	478	0.98	CRISPR-associated endonuclease Cas9		0
A0A1X6WKP1_9ENTE	A0A1X6WKP1_9ENTE	1339	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	1.6e-155	529.4	18.9	1	1	6.2e-161	1.6e-155	529.39013671875	18.88	1	444	32	483	32	483	0.97	CRISPR-associated endonuclease Cas9		0
A0A1J0A4R8_9ENTE	A0A1J0A4R8_9ENTE	1335	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	1.9e-155	529.2	19.6	1	1	7.2e-161	1.9e-155	529.17626953125	19.63	2	444	33	479	32	479	0.97	CRISPR-associated endonuclease Cas9		0
V4Q7N5_STRIN	V4Q7N5_STRIN	1172	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	3.8e-155	528.2	15.9	1	1	1.5e-160	3.8e-155	528.157165527344	15.92	1	444	32	475	32	475	0.99	CRISPR-associated endonuclease Cas9		0
A0A1R4JY54_9SPHI	A0A1R4JY54_9SPHI	1337	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	6.2e-155	527.5	12.5	1	1	4.7e-160	1.2e-154	526.502990722656	12.50	1	444	32	484	32	484	0.96	CRISPR-associated endonuclease Cas9		0
A0A1Q2D5C5_9ENTE	A0A1Q2D5C5_9ENTE	1332	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	5.4e-153	521.1	14.4	1	1	2.2e-158	5.8e-153	520.962707519531	12.45	1	443	32	480	32	481	0.97	CRISPR-associated endonuclease Cas9		0
A0A179EQS1_ENTTH	A0A179EQS1_ENTTH	1327	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	2.2e-152	519.1	12.9	1	1	8.3e-158	2.2e-152	519.093566894531	12.95	1	444	32	473	32	473	0.99	CRISPR-associated endonuclease Cas9		0
H3NFH0_9LACT	H3NFH0_9LACT	1332	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	5.6e-152	517.7	14.8	1	1	4.4e-157	1.1e-151	516.709594726562	14.82	1	444	32	477	32	477	0.97	CRISPR-associated endonuclease Cas9		0
E6LI02_9ENTE	E6LI02_9ENTE	1330	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	2.6e-150	512.2	16.0	1	1	1.0e-155	2.6e-150	512.220458984375	15.99	1	444	32	479	32	479	0.97	CRISPR-associated endonuclease Cas9		0
A0A1L8RHH1_9ENTE	A0A1L8RHH1_9ENTE	1289	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	3.4e-150	511.9	17.4	1	1	3.3e-155	8.4e-150	510.552185058594	17.35	1	444	1	451	1	451	0.97	CRISPR-associated endonuclease Cas9		0
A0A095XEU7_9FIRM	A0A095XEU7_9FIRM	1335	>tr|T0UPW4|T0UPW4_9STRE CRISPR-associated protein, Csn1 family OS=Streptococcus sp. HSISS2 OX=1316411 GN=HSISS2_1833 PE=4 SV=1	-	444	4.6e-149	508.1	24.4	1	1	4.1e-154	1.1e-148	506.912628173828	24.39	2	443	32	481	31	482	0.96	CRISPR-associated endonuclease Cas9		0
