Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0R1RFJ4_9LACO	A0A0R1RFJ4_9LACO	1336	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	2999.2	49.7	1	1	0.0e+00	0.0e+00	2999.01049804688	49.66	1	1336	1	1336	1	1336	1.00	CRISPR-associated endonuclease Cas9		0
A0A0D0YUU5_9LACO	A0A0D0YUU5_9LACO	1370	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1627.8	43.2	1	1	0.0e+00	0.0e+00	1627.6396484375	43.19	1	1336	22	1366	22	1366	0.97	CRISPR-associated endonuclease Cas9		0
A0A0R1RRH5_9LACO	A0A0R1RRH5_9LACO	1364	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1467.0	31.7	1	1	0.0e+00	0.0e+00	1466.80212402344	31.71	2	1336	22	1364	21	1364	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R2I8Q5_9LACO	A0A0R2I8Q5_9LACO	1378	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1438.0	43.6	1	1	0.0e+00	0.0e+00	1437.79846191406	43.63	2	1334	23	1375	22	1377	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R1WWN2_9LACO	A0A0R1WWN2_9LACO	1368	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1430.8	34.4	1	1	0.0e+00	0.0e+00	1430.60864257812	34.45	2	1336	22	1368	21	1368	0.96	CRISPR-associated endonuclease Cas9		0
A0A0R2DGS6_9LACO	A0A0R2DGS6_9LACO	1369	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1380.9	32.2	1	1	0.0e+00	0.0e+00	1380.72204589844	32.23	1	1336	21	1369	21	1369	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1S2S1_9LACO	A0A0R1S2S1_9LACO	1363	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1321.5	38.7	1	1	0.0e+00	0.0e+00	1321.27807617188	38.65	1	1336	21	1363	21	1363	0.95	CRISPR-associated endonuclease Cas9		0
C2D302_LACBR	C2D302_LACBR	1377	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1266.3	44.3	1	1	0.0e+00	0.0e+00	1266.05517578125	44.33	3	1336	30	1377	28	1377	0.94	CRISPR-associated endonuclease Cas9		0
J9W3C2_LACBU	J9W3C2_LACBU	1371	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1260.7	39.8	1	1	0.0e+00	0.0e+00	1260.38989257812	39.84	8	1336	29	1371	24	1371	0.94	CRISPR-associated endonuclease Cas9		0
A0A0R1W1T1_9LACO	A0A0R1W1T1_9LACO	1366	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1260.6	41.7	1	1	0.0e+00	0.0e+00	1260.42883300781	41.75	3	1336	23	1366	21	1366	0.93	CRISPR-associated endonuclease Cas9		0
A0A081BKX9_9LACO	A0A081BKX9_9LACO	1332	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1254.5	39.8	1	1	0.0e+00	0.0e+00	1254.17541503906	39.80	1	1294	21	1325	21	1329	0.94	CRISPR-associated endonuclease Cas9		0
E0NI75_PEDAC	E0NI75_PEDAC	1364	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1210.9	41.8	1	1	0.0e+00	0.0e+00	1210.7099609375	41.81	2	1336	23	1364	22	1364	0.95	CRISPR-associated endonuclease Cas9		0
A0A0R2HZC9_9LACO	A0A0R2HZC9_9LACO	1365	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1185.9	42.2	1	1	0.0e+00	0.0e+00	1185.63220214844	42.18	1	1335	22	1358	22	1359	0.93	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1119.5	42.0	1	2	7.2e-27	7.6e-22	88.430046081543	0.18	1	115	27	143	27	150	0.93	CRISPR-associated endonuclease Cas9		0
A0A0D4CLL6_LACMC	A0A0D4CLL6_LACMC	1396	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1119.5	42.0	2	2	1.8e-312	1.9e-307	1034.51318359375	36.95	103	1336	151	1396	143	1396	0.92	CRISPR-associated endonuclease Cas9		0
W9EE99_9LACO	W9EE99_9LACO	1327	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1113.0	36.4	1	1	0.0e+00	0.0e+00	1112.82299804688	36.43	2	1336	25	1327	24	1327	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2DR00_9LACO	A0A0R2DR00_9LACO	1345	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1093.8	21.5	1	1	0.0e+00	0.0e+00	1093.57153320312	21.53	2	1336	22	1345	21	1345	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R1MNC7_9LACO	A0A0R1MNC7_9LACO	1351	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1092.7	13.8	1	1	0.0e+00	0.0e+00	1092.4091796875	13.77	3	1336	23	1351	21	1351	0.91	CRISPR-associated endonuclease Cas9		0
G2KVM6_LACSM	G2KVM6_LACSM	1331	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1086.6	57.2	1	1	0.0e+00	0.0e+00	1085.26013183594	57.21	6	1335	27	1330	23	1331	0.92	CRISPR-associated endonuclease Cas9		0
I7L6U4_9LACO	I7L6U4_9LACO	1386	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1079.9	61.2	1	1	0.0e+00	0.0e+00	1079.72253417969	61.24	1	1336	24	1386	24	1386	0.91	CRISPR-associated endonuclease Cas9		0
A0A0R2AFH9_9LACO	A0A0R2AFH9_9LACO	1324	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1074.6	45.8	1	1	0.0e+00	0.0e+00	1074.40771484375	45.81	8	1336	1	1324	1	1324	0.93	CRISPR-associated endonuclease Cas9		0
A0A0R2JSC5_9LACO	A0A0R2JSC5_9LACO	1341	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	0.0e+00	1071.9	58.1	1	1	0.0e+00	0.0e+00	1071.61962890625	58.09	2	1336	25	1341	24	1341	0.92	CRISPR-associated endonuclease Cas9		0
A0A0R1RHH9_9LACO	A0A0R1RHH9_9LACO	1378	>tr|A0A0R1RFJ4|A0A0R1RFJ4_9LACO CRISPR-associated endonuclease Cas9 OS=Lactobacillus oligofermentans DSM 15707 = LMG 22743 OX=1423778 GN=cas9 PE=3 SV=1	-	1336	1.5e-309	1041.5	28.8	1	1	1.7e-314	1.8e-309	1041.26379394531	28.83	6	1335	37	1377	32	1378	0.89	CRISPR-associated endonuclease Cas9		0
