Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1X4N9Z9_9PROT	A0A1X4N9Z9_9PROT	964	>A0A1X4N9Z9_9PROT	-	964	0.0e+00	2200.3	14.8	1	1	0.0e+00	0.0e+00	2200.16870117188	14.85	1	964	1	964	1	964	1.00	Uncharacterized protein		0
A0A1M7ZMB1_9RHIZ	A0A1M7ZMB1_9RHIZ	1071	>A0A1X4N9Z9_9PROT	-	964	2.2e-81	285.4	13.9	1	1	2.2e-84	1.4e-79	279.448028564453	11.50	11	667	204	822	193	848	0.85	CRISPR-associated endonuclease Cas9		0
A0A1N7N3F4_9RHOB	A0A1N7N3F4_9RHOB	1074	>A0A1X4N9Z9_9PROT	-	964	5.0e-80	280.9	9.8	1	1	7.8e-85	5.0e-80	280.939025878906	9.83	10	661	206	819	196	911	0.83	CRISPR-associated endonuclease Cas9		0
A0A0T0PVC7_9SPHN	A0A0T0PVC7_9SPHN	1059	>A0A1X4N9Z9_9PROT	-	964	2.2e-78	275.5	10.9	1	1	2.7e-82	1.7e-77	272.544372558594	6.20	11	660	191	796	185	804	0.85	CRISPR-associated endonuclease Cas9		0
A0A0E9MLX9_9SPHN	A0A0E9MLX9_9SPHN	1048	>A0A1X4N9Z9_9PROT	-	964	1.0e-77	273.3	12.2	1	1	8.3e-82	5.4e-77	270.915252685547	9.18	11	664	191	800	184	820	0.85	CRISPR-associated endonuclease Cas9		0
A0A0H1A177_9RHIZ	A0A0H1A177_9RHIZ	1097	>A0A1X4N9Z9_9PROT	-	964	7.4e-75	263.8	16.1	1	1	6.0e-78	3.9e-73	258.152252197266	13.38	10	661	220	831	212	875	0.84	CRISPR-associated endonuclease Cas9		0
A0A0U2W148_9RHOB	A0A0U2W148_9RHOB	1096	>A0A1X4N9Z9_9PROT	-	964	1.5e-74	262.8	9.5	1	2	1.6e-74	1.1e-69	246.785568237305	6.22	9	665	209	831	201	840	0.82	CRISPR-associated endonuclease Cas9		0
A0A0U2W148_9RHOB	A0A0U2W148_9RHOB	1096	>A0A1X4N9Z9_9PROT	-	964	1.5e-74	262.8	9.5	2	2	6.8e-05	4.4	16.3819961547852	0.05	777	939	893	1055	875	1063	0.77	CRISPR-associated endonuclease Cas9		0
A0A0B8Z713_9SPHN	A0A0B8Z713_9SPHN	1067	>A0A1X4N9Z9_9PROT	-	964	4.5e-73	257.9	5.2	1	1	1.0e-77	6.7e-73	257.358947753906	2.73	11	661	194	803	187	819	0.81	CRISPR-associated endonuclease Cas9		0
A0A1E4DUI9_9RHIZ	A0A1E4DUI9_9RHIZ	1080	>A0A1X4N9Z9_9PROT	-	964	1.6e-72	256.1	7.7	1	1	3.9e-75	2.5e-70	248.849502563477	5.32	11	661	213	818	208	896	0.84	CRISPR-associated endonuclease Cas9		0
D5BR51_PUNMI	D5BR51_PUNMI	1035	>A0A1X4N9Z9_9PROT	-	964	4.7e-72	254.6	8.0	1	2	2.7e-71	1.8e-66	236.113784790039	5.27	11	709	193	854	181	886	0.78	CRISPR-associated endonuclease Cas9		0
D5BR51_PUNMI	D5BR51_PUNMI	1035	>A0A1X4N9Z9_9PROT	-	964	4.7e-72	254.6	8.0	2	2	2.8e-05	1.8	17.6544818878174	0.03	831	896	903	968	877	978	0.82	CRISPR-associated endonuclease Cas9		0
A0A1V0PWS4_9RHOB	A0A1V0PWS4_9RHOB	997	>A0A1X4N9Z9_9PROT	-	964	1.4e-71	253.0	7.2	1	1	9.3e-74	6.0e-69	244.279144287109	6.87	11	660	136	745	130	764	0.81	CRISPR-associated endonuclease Cas9		0
A0A143DGZ8_9PROT	A0A143DGZ8_9PROT	1061	>A0A1X4N9Z9_9PROT	-	964	1.9e-71	252.6	8.6	1	2	1.9e-69	1.2e-64	230.02099609375	6.23	11	670	206	820	198	860	0.83	CRISPR-associated endonuclease Cas9		0
A0A143DGZ8_9PROT	A0A143DGZ8_9PROT	1061	>A0A1X4N9Z9_9PROT	-	964	1.9e-71	252.6	8.6	2	2	1.7e-06	0.11	21.6424255371094	0.03	783	953	884	1052	870	1056	0.75	CRISPR-associated endonuclease Cas9		0
A3VED0_9RHOB	A3VED0_9RHOB	997	>A0A1X4N9Z9_9PROT	-	964	2.9e-71	252.0	2.5	1	1	5.3e-73	3.4e-68	241.776504516602	1.44	11	660	136	744	131	761	0.81	CRISPR-associated endonuclease Cas9		0
A0A0A1PPJ7_9BACT	A0A0A1PPJ7_9BACT	1021	>A0A1X4N9Z9_9PROT	-	964	3.2e-71	251.8	9.9	1	1	4.9e-76	3.2e-71	251.810089111328	9.87	11	662	149	759	144	775	0.82	CRISPR-associated endonuclease Cas9		0
A0A0H4KTI1_9RHOB	A0A0H4KTI1_9RHOB	986	>A0A1X4N9Z9_9PROT	-	964	3.2e-71	251.8	1.6	1	1	4.0e-74	2.6e-69	245.492523193359	1.85	11	660	127	734	122	744	0.84	CRISPR-associated endonuclease Cas9		0
J6LE60_9RHOB	J6LE60_9RHOB	1059	>A0A1X4N9Z9_9PROT	-	964	4.4e-71	251.3	16.7	1	2	7.5e-65	4.9e-60	214.804794311523	12.19	11	678	205	828	197	861	0.82	CRISPR-associated endonuclease Cas9		0
J6LE60_9RHOB	J6LE60_9RHOB	1059	>A0A1X4N9Z9_9PROT	-	964	4.4e-71	251.3	16.7	2	2	3.9e-09	0.00025	30.4202518463135	0.12	809	904	898	994	863	1001	0.80	CRISPR-associated endonuclease Cas9		0
A0A1H9NKH7_9SPHN	A0A1H9NKH7_9SPHN	1058	>A0A1X4N9Z9_9PROT	-	964	2.2e-70	249.1	10.1	1	1	1.8e-74	1.2e-69	246.650588989258	7.09	14	702	191	859	181	886	0.79	CRISPR-associated endonuclease Cas9		0
A0A2U2CS00_9RHOB	A0A2U2CS00_9RHOB	1071	>A0A1X4N9Z9_9PROT	-	964	1.9e-69	246.0	4.1	1	2	4.2e-71	2.8e-66	235.475677490234	2.81	11	660	206	818	201	847	0.79	CRISPR-associated endonuclease Cas9		0
A0A2U2CS00_9RHOB	A0A2U2CS00_9RHOB	1071	>A0A1X4N9Z9_9PROT	-	964	1.9e-69	246.0	4.1	2	2	0.011	740	9.01401424407959	0.02	782	904	886	1008	850	1040	0.79	CRISPR-associated endonuclease Cas9		0
A0A1Y2L5Z1_9PROT	A0A1Y2L5Z1_9PROT	1049	>A0A1X4N9Z9_9PROT	-	964	3.6e-69	245.0	8.0	1	2	1.5e-63	9.9e-59	210.465591430664	5.07	11	674	207	818	200	862	0.82	CRISPR-associated endonuclease Cas9		0
A0A1Y2L5Z1_9PROT	A0A1Y2L5Z1_9PROT	1049	>A0A1X4N9Z9_9PROT	-	964	3.6e-69	245.0	8.0	2	2	2.1e-07	0.014	24.6869010925293	0.04	833	910	915	992	873	1023	0.84	CRISPR-associated endonuclease Cas9		0
A0A231V279_9RHIZ	A0A231V279_9RHIZ	1107	>A0A1X4N9Z9_9PROT	-	964	6.4e-69	244.2	10.4	1	2	5.1e-66	3.3e-61	218.656509399414	8.11	11	667	216	848	208	867	0.80	CRISPR-associated endonuclease Cas9		0
A0A231V279_9RHIZ	A0A231V279_9RHIZ	1107	>A0A1X4N9Z9_9PROT	-	964	6.4e-69	244.2	10.4	2	2	1.3e-07	0.0085	25.3588771820068	0.03	809	905	943	1039	925	1070	0.85	CRISPR-associated endonuclease Cas9		0
A0A073IJU3_9RHOB	A0A073IJU3_9RHOB	1094	>A0A1X4N9Z9_9PROT	-	964	1.0e-68	243.5	7.2	1	2	5.2e-69	3.4e-64	228.560775756836	5.43	11	661	230	844	224	872	0.79	CRISPR-associated endonuclease Cas9		0
A0A073IJU3_9RHOB	A0A073IJU3_9RHOB	1094	>A0A1X4N9Z9_9PROT	-	964	1.0e-68	243.5	7.2	2	2	0.00035	23	14.0216693878174	0.02	830	954	959	1084	927	1087	0.77	CRISPR-associated endonuclease Cas9		0
A0A0P1ETF1_9RHOB	A0A0P1ETF1_9RHOB	1072	>A0A1X4N9Z9_9PROT	-	964	2.5e-68	242.2	3.5	1	2	2.0e-69	1.3e-64	229.912857055664	2.30	11	660	211	819	206	829	0.78	CRISPR-associated endonuclease Cas9		0
